audio_path,class,class_name,gt_onset_sec,gt_offset_sec,window_sec,segment_index,placement,source,pred_onset_sec,raw_model_output
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix007_win10s_14.500-24.500.wav,0,"Female speech, woman speaking",0.4,2.0,10,1,right_edge,sony,0.0,"```json
{""start time"": 0}
``` ||| ```json
{""start time"": 0}
``` ||| ```json
{""start time"": 0.0}
```"
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix007_win10s_12.700-22.700.wav,0,"Female speech, woman speaking",2.2,3.8,10,2,center,sony,0.0,"```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 0.0}
```"
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix007_win10s_10.700-20.700.wav,0,"Female speech, woman speaking",4.2,5.8,10,3,center,sony,1.0,"```json
{""start time"": 0.2}
``` ||| ```json
{""start time"": 2.8}
``` ||| ```json
{""start time"": 0.0}
```"
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix007_win10s_8.700-18.700.wav,0,"Female speech, woman speaking",6.2,7.8,10,4,center,sony,1.0,"```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 2.9}
```"
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix007_win10s_6.900-16.900.wav,0,"Female speech, woman speaking",8.0,9.6,10,5,left_edge,sony,2.6,"```json
{""start time"": 3.1}
``` ||| ```json
{""start time"": 1.7}
``` ||| ```json
{""start time"": 3.1}
```"
win_cuts/win10s/seg1/class_0/sony_fold3_room22_mix008_win10s_17.500-27.500.wav,0,"Female speech, woman speaking",0.5,2.0,10,1,right_edge,sony,1.5,"```json
{""start time"": 3.3}
``` ||| ```json
{""start time"": 1.1}
``` ||| ```json
{""start time"": 0.0}
```"
win_cuts/win10s/seg2/class_0/sony_fold3_room22_mix008_win10s_15.750-25.750.wav,0,"Female speech, woman speaking",2.3,3.8,10,2,center,sony,0.3,"```json
{""start time"": 0.8}
``` ||| ```json
{""start time"": 0.2}
``` ||| ```json
{""start time"": 0.0}
```"
win_cuts/win10s/seg3/class_0/sony_fold3_room22_mix008_win10s_13.750-23.750.wav,0,"Female speech, woman speaking",4.3,5.8,10,3,center,sony,1.3,"```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 2.5}
``` ||| ```json
{""start time"": 1.4}
```"
win_cuts/win10s/seg4/class_0/sony_fold3_room22_mix008_win10s_11.750-21.750.wav,0,"Female speech, woman speaking",6.3,7.8,10,4,center,sony,1.1,"```json
{""start time"": 2.8}
``` ||| ```json
{""start time"": 0.3}
``` ||| ```json
{""start time"": 0.1}
```"
win_cuts/win10s/seg5/class_0/sony_fold3_room22_mix008_win10s_10.000-20.000.wav,0,"Female speech, woman speaking",8.0,9.5,10,5,left_edge,sony,0.6,"```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 0.0}
``` ||| ```json
{""start time"": 1.8}
```"
