source,file,abs_audio_path,onset,offset,class,left_extend_to,right_extend_to,event_duration,left_space,right_space,window_sec,segment_sec
sony,fold3_room22_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix008.wav,18.0,19.5,0,0.0,95.0,1.5,18.0,75.5,20.0,4.0
sony,fold3_room22_mix010.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix010.wav,66.8,67.1,0,39.600001,86.199999,0.3,27.199999,19.099999,20.0,4.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,153.4,156.4,0,89.900001,208.899999,3.0,63.499999,52.499999,20.0,4.0
sony,fold3_room21_mix021.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix021.wav,38.9,39.5,1,2.600001,130.0,0.6,36.299999,90.5,20.0,4.0
sony,fold3_room21_mix026.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix026.wav,221.7,225.0,1,148.200001,244.299999,3.3,73.499999,19.299999,20.0,4.0
sony,fold3_room22_mix007.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix007.wav,66.1,67.2,1,16.300001,126.1,1.1,49.799999,58.9,20.0,4.0
sony,fold3_room22_mix008.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room22_mix008.wav,16.2,16.9,1,0.0,95.0,0.7,16.2,78.1,20.0,4.0
tau,fold3_room6_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix005.wav,212.4,213.9,1,165.900001,261.899999,1.5,46.499999,47.999999,20.0,4.0
tau,fold3_room9_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix005.wav,86.4,87.4,1,53.400001,106.899999,1.0,32.999999,19.499999,20.0,4.0
tau,fold3_room9_mix005.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room9_mix005.wav,148.4,149.4,1,125.900001,168.899999,1.0,22.499999,19.499999,20.0,4.0
sony,fold3_room21_mix022.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix022.wav,143.9,145.0,2,72.700001,164.799999,1.1,71.199999,19.799999,20.0,4.0
sony,fold3_room21_mix025.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix025.wav,218.4,220.0,2,0.0,243.0,1.6,218.4,23.0,20.0,4.0
tau,fold3_room6_mix001.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix001.wav,53.4,54.4,2,0.0,214.399999,1.0,53.4,159.999999,20.0,4.0
tau,fold3_room6_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room6_mix002.wav,191.9,192.9,2,0.0,257.784,1.0,191.9,64.884,20.0,4.0
tau,fold3_room7_mix004.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix004.wav,197.9,198.4,2,0.0,328.419,0.5,197.9,130.019,20.0,4.0
tau,fold3_room7_mix006.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-tau/fold3_room7_mix006.wav,110.9,112.4,2,0.0,330.399999,1.5,110.9,217.999999,20.0,4.0
sony,fold3_room21_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix002.wav,35.8,36.5,4,0.0,56.399999,0.7,35.8,19.899999,20.0,4.0
sony,fold3_room21_mix002.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix002.wav,56.4,57.7,4,36.500001,132.399999,1.3,19.899999,74.699999,20.0,4.0
sony,fold3_room21_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix003.wav,30.1,31.7,4,0.0,75.399999,1.6,30.1,43.699999,20.0,4.0
sony,fold3_room21_mix003.wav,/data/user/jzt/crd/audioLLM/foa_dev/foa_dev/dev-train-sony/fold3_room21_mix003.wav,75.4,76.4,4,31.700001,118.0,1.0,43.699999,41.6,20.0,4.0
