file,win_start,win_end,win_len,target_class,target_name,model_rel_start,model_abs_start,hallucinated,raw_reply
fold3_room21_mix001.wav,0.0,40.0,40,0,"Female speech, woman speaking",0.0,0.0,1,"{""start"": 0.0}"
fold3_room21_mix001.wav,0.0,40.0,40,2,Clapping,2.3,2.3,1,"{""start"": 2.3}"
fold3_room21_mix001.wav,0.0,40.0,40,6,"Walk, footsteps",13.8,13.8,1,"{""start"": 13.8}"
fold3_room21_mix001.wav,0.0,40.0,40,7,"Door, open or close",34.7,34.7,1,"{""start"": 34.7}"
fold3_room21_mix001.wav,0.0,40.0,40,8,Music,1.7,1.7,1,"{""start"": 1.7}"
fold3_room21_mix001.wav,0.0,40.0,40,11,Bell,2.7,2.7,1,"{""start"": 2.7}"
fold3_room21_mix001.wav,0.0,40.0,40,12,Knock,1.9,1.9,1,"{""start"": 1.9}"
fold3_room21_mix001.wav,40.0,80.0,40,0,"Female speech, woman speaking",0.0,40.0,1,"{""start"": 0.0}"
fold3_room21_mix001.wav,40.0,80.0,40,2,Clapping,2.9,42.9,1,"{""start"": 2.9}"
fold3_room21_mix001.wav,40.0,80.0,40,6,"Walk, footsteps",2.1,42.1,1,"{""start"": 2.1}"
fold3_room21_mix001.wav,40.0,80.0,40,7,"Door, open or close",13.9,53.9,1,"{""start"": 13.9}"
fold3_room21_mix001.wav,40.0,80.0,40,8,Music,27.9,67.9,1,"{""start"": 27.9}"
fold3_room21_mix001.wav,40.0,80.0,40,11,Bell,17.2,57.2,1,"{""start"": 17.2}"
fold3_room21_mix001.wav,40.0,80.0,40,12,Knock,12.0,52.0,1,"{""start"": 12.0}"
