file,win_start,win_end,win_len,target_class,target_name,model_rel_start,model_abs_start,hallucinated,raw_reply
fold3_room21_mix001.wav,0.0,5.0,5,0,"Female speech, woman speaking",2.48,2.48,1,{'start': 2.48}
fold3_room21_mix001.wav,0.0,5.0,5,2,Clapping,2.68,2.68,1,{'start': 2.68}
fold3_room21_mix001.wav,0.0,5.0,5,6,"Walk, footsteps",2.78,2.78,1,"{\""start\"": 2.78}"
fold3_room21_mix001.wav,0.0,5.0,5,7,"Door, open or close",3.84,3.84,1,{'start': 3.84}
fold3_room21_mix001.wav,0.0,5.0,5,8,Music,4.73,4.73,1,"{\""start\"": 4.73}"
fold3_room21_mix001.wav,0.0,5.0,5,11,Bell,4.76,4.76,1,{'start': '4.76'}
fold3_room21_mix001.wav,0.0,5.0,5,12,Knock,3.78,3.78,1,{'start': '3.78'}
fold3_room21_mix001.wav,5.0,10.0,5,0,"Female speech, woman speaking",2.68,7.68,1,{'start': 2.68}
fold3_room21_mix001.wav,5.0,10.0,5,2,Clapping,2.68,7.68,1,"{\""start\"": 2.68}"
fold3_room21_mix001.wav,5.0,10.0,5,6,"Walk, footsteps",2.88,7.88,1,"{\""start\"": 2.88}"
fold3_room21_mix001.wav,5.0,10.0,5,7,"Door, open or close",3.86,8.86,1,{'start': 3.86}
fold3_room21_mix001.wav,5.0,10.0,5,8,Music,4.73,9.73,1,"{\""start\"": 4.73}"
fold3_room21_mix001.wav,5.0,10.0,5,11,Bell,4.79,9.79,1,{'start': '4.79'}
fold3_room21_mix001.wav,5.0,10.0,5,12,Knock,4.86,9.86,1,{'start': '4.86'}
fold3_room21_mix001.wav,10.0,15.0,5,0,"Female speech, woman speaking",2.68,12.68,1,{'start': 2.68}
fold3_room21_mix001.wav,10.0,15.0,5,2,Clapping,2.36,12.36,1,{'start': '2.36'}
fold3_room21_mix001.wav,10.0,15.0,5,6,"Walk, footsteps",2.88,12.879999999999999,1,"{\""start\"": 2.88}"
fold3_room21_mix001.wav,10.0,15.0,5,7,"Door, open or close",3.86,13.86,1,{'start': 3.86}
fold3_room21_mix001.wav,10.0,15.0,5,8,Music,4.73,14.73,1,"{\""start\"": 4.73}"
fold3_room21_mix001.wav,10.0,15.0,5,11,Bell,4.28,14.280000000000001,1,{'start': '4.28'}
fold3_room21_mix001.wav,10.0,15.0,5,12,Knock,4.86,14.86,1,{'start': '4.86'}
fold3_room21_mix001.wav,15.0,20.0,5,0,"Female speech, woman speaking",2.43,17.43,1,{'start': 2.43}
fold3_room21_mix001.wav,15.0,20.0,5,2,Clapping,2.43,17.43,1,"{\""start\"": 2.43}"
fold3_room21_mix001.wav,15.0,20.0,5,6,"Walk, footsteps",3.28,18.28,1,"{\""start\"": 3.28}"
fold3_room21_mix001.wav,15.0,20.0,5,7,"Door, open or close",3.86,18.86,1,{'start': 3.86}
fold3_room21_mix001.wav,15.0,20.0,5,8,Music,2.64,17.64,1,"{\""start\"": 2.64}"
fold3_room21_mix001.wav,15.0,20.0,5,11,Bell,4.26,19.259999999999998,1,{'start': '4.26'}
