file,win_start,win_end,win_len,target_class,target_name,model_rel_start,model_abs_start,hallucinated,raw_reply
fold3_room21_mix002.wav,0.0,50.0,50,0,"Female speech, woman speaking",0.0,0.0,1,"{""start"": 0}"
fold3_room21_mix002.wav,0.0,50.0,50,2,Clapping,13.3,13.3,1,"{""start"": 13.3}"
fold3_room21_mix002.wav,0.0,50.0,50,6,"Walk, footsteps",10.4,10.4,1,"{""start"": 10.4}"
fold3_room21_mix002.wav,0.0,50.0,50,7,"Door, open or close",48.8,48.8,1,"{""start"": 48.8}"
fold3_room21_mix002.wav,0.0,50.0,50,8,Music,15.4,15.4,1,"{""start"": 15.4}"
fold3_room21_mix002.wav,0.0,50.0,50,11,Bell,10.4,10.4,1,"{""start"": 10.4}"
fold3_room21_mix002.wav,0.0,50.0,50,12,Knock,12.3,12.3,1,"{""start"": 12.3}"
fold3_room21_mix002.wav,50.0,100.0,50,0,"Female speech, woman speaking",0.0,50.0,1,"{""start"": 0}"
fold3_room21_mix002.wav,50.0,100.0,50,2,Clapping,49.9,99.9,1,"{""start"": 49.9}"
fold3_room21_mix002.wav,50.0,100.0,50,6,"Walk, footsteps",10.0,60.0,1,"{""start"": 10.0}"
fold3_room21_mix002.wav,50.0,100.0,50,7,"Door, open or close",23.8,73.8,1,"{""start"": 23.8}"
fold3_room21_mix002.wav,50.0,100.0,50,8,Music,42.5,92.5,1,"{""start"": 42.5}"
fold3_room21_mix002.wav,50.0,100.0,50,11,Bell,11.0,61.0,1,"{""start"": 11}"
fold3_room21_mix002.wav,50.0,100.0,50,12,Knock,12.0,62.0,1,"{""start"": 12.0}"
