file,win_start,win_end,win_len,target_class,target_name,model_rel_start,model_abs_start,hallucinated,raw_reply
fold3_room21_mix001.wav,0.0,40.0,40,0,"Female speech, woman speaking",,,0,[]
fold3_room21_mix001.wav,0.0,40.0,40,2,Clapping,2.59,2.59,1,[{'start': 2.59}]
fold3_room21_mix001.wav,0.0,40.0,40,6,"Walk, footsteps",6.83,6.83,1,[{'start': 6.83}]
fold3_room21_mix001.wav,0.0,40.0,40,7,"Door, open or close",,,0,[]
fold3_room21_mix001.wav,0.0,40.0,40,8,Music,8.0,8.0,1,"[{\""start\"": 8.0}]"
fold3_room21_mix001.wav,0.0,40.0,40,11,Bell,,,0,[]
fold3_room21_mix001.wav,0.0,40.0,40,12,Knock,,,0,[]
fold3_room21_mix001.wav,40.0,80.0,40,0,"Female speech, woman speaking",,,0,[]
fold3_room21_mix001.wav,40.0,80.0,40,2,Clapping,,,0,[]
fold3_room21_mix001.wav,40.0,80.0,40,6,"Walk, footsteps",6.58,46.58,1,[{'start': 6.58}]
fold3_room21_mix001.wav,40.0,80.0,40,7,"Door, open or close",,,0,[]
fold3_room21_mix001.wav,40.0,80.0,40,8,Music,8.0,48.0,1,[{'start': 8.0}]
fold3_room21_mix001.wav,40.0,80.0,40,11,Bell,,,0,[]
fold3_room21_mix001.wav,40.0,80.0,40,12,Knock,,,0,[]
