file,win_start,win_end,win_len,target_class,target_name,model_rel_start,model_abs_start,hallucinated,raw_reply
fold3_room21_mix002.wav,0.0,5.0,5,0,"Female speech, woman speaking",0.5,0.5,1,"[{""start"": 0.5}]"
fold3_room21_mix002.wav,0.0,5.0,5,2,Clapping,1.9,1.9,1,"[{""start"": 1.9}]"
fold3_room21_mix002.wav,0.0,5.0,5,6,"Walk, footsteps",0.8,0.8,1,"[{""start"": 0.8}]"
fold3_room21_mix002.wav,0.0,5.0,5,7,"Door, open or close",4.7,4.7,1,"[{""start"": 4.7}]"
fold3_room21_mix002.wav,0.0,5.0,5,8,Music,1.7,1.7,1,"[{""start"": 1.7}]"
fold3_room21_mix002.wav,0.0,5.0,5,11,Bell,1.6,1.6,1,"[{""start"": 1.6}]"
fold3_room21_mix002.wav,0.0,5.0,5,12,Knock,2.9,2.9,1,"[{""start"": 2.9}]"
fold3_room21_mix002.wav,5.0,10.0,5,0,"Female speech, woman speaking",0.1,5.1,1,"[{""start"": 0.1}]"
fold3_room21_mix002.wav,5.0,10.0,5,2,Clapping,0.0,5.0,1,"[{""start"": 0.0}]"
fold3_room21_mix002.wav,5.0,10.0,5,6,"Walk, footsteps",0.1,5.1,1,"[{""start"": 0.1}]"
fold3_room21_mix002.wav,5.0,10.0,5,7,"Door, open or close",0.5,5.5,1,"[{""start"": 0.5}]"
fold3_room21_mix002.wav,5.0,10.0,5,8,Music,0.1,5.1,1,"[{""start"": 0.1}]"
fold3_room21_mix002.wav,5.0,10.0,5,11,Bell,0.2,5.2,1,"[{""start"": 0.2}]"
fold3_room21_mix002.wav,5.0,10.0,5,12,Knock,0.5,5.5,1,"```json
[{""start"": 0.5}]
```"
fold3_room21_mix002.wav,10.0,15.0,5,0,"Female speech, woman speaking",0.0,10.0,1,"[]
```json
[{""start"": 0.0}]
```"
fold3_room21_mix002.wav,10.0,15.0,5,2,Clapping,,,0,[]
fold3_room21_mix002.wav,10.0,15.0,5,6,"Walk, footsteps",,,0,[]
fold3_room21_mix002.wav,10.0,15.0,5,7,"Door, open or close",,,0,[]
fold3_room21_mix002.wav,10.0,15.0,5,8,Music,,,0,[]
fold3_room21_mix002.wav,10.0,15.0,5,11,Bell,,,0,[]
fold3_room21_mix002.wav,10.0,15.0,5,12,Knock,,,0,[]
fold3_room21_mix002.wav,15.0,20.0,5,0,"Female speech, woman speaking",0.1,15.1,1,"[{""start"": 0.1}]"
fold3_room21_mix002.wav,15.0,20.0,5,2,Clapping,,,0,[]
fold3_room21_mix002.wav,15.0,20.0,5,6,"Walk, footsteps",,,0,[]
fold3_room21_mix002.wav,15.0,20.0,5,7,"Door, open or close",,,0,[]
fold3_room21_mix002.wav,15.0,20.0,5,8,Music,0.7,15.7,1,"[]
```json
[{""start"": 0.7}]
```"
fold3_room21_mix002.wav,15.0,20.0,5,11,Bell,,,0,[]
