file,win_start,win_end,class,gt_start,pred_start
fold3_room21_mix001.wav,0.0,40.0,1,1.1,1.5
fold3_room21_mix001.wav,0.0,40.0,4,3.7,12.3
fold3_room21_mix001.wav,40.0,80.0,1,40.0,41.6
fold3_room21_mix002.wav,0.0,40.0,1,0.8,1.94
fold3_room21_mix002.wav,0.0,40.0,4,35.8,10.8
fold3_room21_mix002.wav,40.0,80.0,1,40.0,41.24
fold3_room21_mix002.wav,40.0,80.0,4,56.4,56.7
fold3_room21_mix002.wav,80.0,120.0,1,82.9,98.3
fold3_room21_mix003.wav,0.0,40.0,1,0.8,10.0
fold3_room21_mix003.wav,0.0,40.0,4,30.1,12.0
fold3_room21_mix003.wav,0.0,40.0,8,0.0,20.0
fold3_room21_mix003.wav,40.0,80.0,1,40.0,41.5
fold3_room21_mix003.wav,40.0,80.0,4,75.4,42.5
fold3_room21_mix003.wav,40.0,80.0,8,40.0,68.0
fold3_room21_mix005.wav,0.0,40.0,1,1.1,1.9
fold3_room21_mix007.wav,0.0,40.0,1,9.7,12.98
fold3_room21_mix007.wav,0.0,40.0,8,0.0,27.4
fold3_room21_mix008.wav,0.0,40.0,1,0.2,19.6
fold3_room21_mix008.wav,40.0,80.0,1,40.0,57.4
fold3_room21_mix008.wav,80.0,120.0,1,80.0,90.92
fold3_room21_mix008.wav,80.0,120.0,4,107.3,
fold3_room21_mix009.wav,0.0,40.0,5,0.0,14.0
fold3_room21_mix009.wav,0.0,40.0,8,0.0,17.0
fold3_room21_mix009.wav,0.0,40.0,11,6.5,24.0
fold3_room21_mix009.wav,40.0,80.0,5,40.0,67.69
fold3_room21_mix009.wav,40.0,80.0,8,40.0,55.75
fold3_room21_mix009.wav,40.0,80.0,11,51.0,70.2
fold3_room21_mix010.wav,0.0,40.0,1,0.5,19.5
fold3_room21_mix010.wav,0.0,40.0,5,0.0,23.5
fold3_room21_mix010.wav,0.0,40.0,8,0.0,28.5
fold3_room21_mix010.wav,0.0,40.0,11,0.1,35.5
fold3_room21_mix010.wav,40.0,80.0,5,40.0,70.0
fold3_room21_mix010.wav,40.0,80.0,8,40.0,65.0
fold3_room21_mix010.wav,40.0,80.0,11,45.3,78.0
fold3_room21_mix011.wav,0.0,40.0,5,0.0,15.0
fold3_room21_mix011.wav,0.0,40.0,8,0.0,20.0
fold3_room21_mix011.wav,0.0,40.0,11,5.9,25.0
fold3_room21_mix012.wav,0.0,40.0,1,0.0,1.67
fold3_room21_mix012.wav,0.0,40.0,4,25.4,12.33
fold3_room21_mix012.wav,0.0,40.0,8,0.0,28.67
fold3_room21_mix012.wav,40.0,80.0,1,40.0,41.5
fold3_room21_mix012.wav,40.0,80.0,4,50.7,54.5
fold3_room21_mix012.wav,40.0,80.0,8,40.0,66.5
fold3_room21_mix012.wav,80.0,120.0,1,80.0,81.6
fold3_room21_mix012.wav,80.0,120.0,4,83.0,82.9
fold3_room21_mix012.wav,80.0,120.0,8,80.0,97.8
fold3_room21_mix013.wav,0.0,40.0,1,0.1,10.95
fold3_room21_mix013.wav,0.0,40.0,4,25.4,12.7
fold3_room21_mix013.wav,0.0,40.0,8,0.0,24.9
fold3_room21_mix014.wav,0.0,40.0,1,0.3,1.64
fold3_room21_mix014.wav,0.0,40.0,4,39.2,10.0
fold3_room21_mix014.wav,0.0,40.0,8,0.0,24.6
fold3_room21_mix015.wav,0.0,40.0,1,0.1,11.0
fold3_room21_mix015.wav,0.0,40.0,8,0.0,
fold3_room21_mix015.wav,40.0,80.0,1,40.0,41.52
fold3_room21_mix015.wav,40.0,80.0,4,79.4,41.52
fold3_room21_mix015.wav,40.0,80.0,8,40.0,41.52
fold3_room21_mix016.wav,0.0,40.0,1,0.0,1.77
fold3_room21_mix016.wav,0.0,40.0,3,33.5,10.67
fold3_room21_mix017.wav,0.0,40.0,1,0.3,15.0
fold3_room21_mix017.wav,0.0,40.0,8,0.0,
fold3_room21_mix017.wav,40.0,80.0,1,40.4,52.0
fold3_room21_mix017.wav,40.0,80.0,8,40.0,66.0
fold3_room21_mix017.wav,80.0,120.0,1,81.0,81.85
fold3_room21_mix017.wav,80.0,120.0,3,83.3,95.4
fold3_room21_mix017.wav,80.0,120.0,8,80.0,108.2
fold3_room21_mix018.wav,0.0,40.0,1,11.4,11.0
fold3_room21_mix018.wav,0.0,40.0,5,0.0,15.0
fold3_room21_mix018.wav,0.0,40.0,7,3.6,20.0
fold3_room21_mix018.wav,0.0,40.0,12,0.8,29.0
fold3_room21_mix018.wav,40.0,80.0,1,40.0,41.85
fold3_room21_mix018.wav,40.0,80.0,4,56.1,52.3
fold3_room21_mix018.wav,40.0,80.0,5,40.0,64.6
fold3_room21_mix018.wav,80.0,120.0,1,80.6,81.35
fold3_room21_mix018.wav,80.0,120.0,5,80.0,91.3
fold3_room21_mix019.wav,0.0,40.0,1,0.8,1.5
fold3_room21_mix019.wav,0.0,40.0,5,0.0,
fold3_room21_mix020.wav,0.0,40.0,1,16.1,15.0
fold3_room21_mix020.wav,0.0,40.0,5,1.1,28.0
fold3_room21_mix020.wav,0.0,40.0,7,17.7,31.0
fold3_room21_mix020.wav,0.0,40.0,12,15.2,35.0
fold3_room21_mix020.wav,40.0,80.0,5,40.0,
fold3_room21_mix020.wav,80.0,120.0,5,100.0,
fold3_room21_mix021.wav,0.0,40.0,1,0.3,23.8
fold3_room21_mix021.wav,0.0,40.0,8,0.0,
fold3_room21_mix021.wav,40.0,80.0,5,40.6,69.71000000000001
fold3_room21_mix021.wav,40.0,80.0,7,61.6,55.85
fold3_room21_mix021.wav,40.0,80.0,8,40.0,73.15
fold3_room21_mix021.wav,80.0,120.0,5,80.8,104.63
fold3_room21_mix021.wav,80.0,120.0,7,88.2,106.5
fold3_room21_mix021.wav,80.0,120.0,8,80.0,110.5
fold3_room21_mix022.wav,0.0,40.0,1,0.2,13.39
fold3_room21_mix022.wav,0.0,40.0,4,19.9,27.1
fold3_room21_mix022.wav,40.0,80.0,1,44.4,69.47
fold3_room21_mix022.wav,40.0,80.0,2,69.2,69.99
fold3_room21_mix022.wav,40.0,80.0,4,43.4,70.19
fold3_room21_mix022.wav,80.0,120.0,1,88.8,90.0
fold3_room21_mix022.wav,80.0,120.0,3,86.7,
fold3_room21_mix022.wav,120.0,160.0,1,123.2,121.0
fold3_room21_mix022.wav,120.0,160.0,2,143.9,132.0
fold3_room21_mix022.wav,120.0,160.0,4,136.5,152.0
fold3_room21_mix023.wav,0.0,40.0,5,0.6,
fold3_room21_mix023.wav,40.0,80.0,1,64.8,41.92
fold3_room21_mix023.wav,40.0,80.0,3,58.2,41.92
fold3_room21_mix023.wav,40.0,80.0,5,40.0,41.92
fold3_room21_mix024.wav,0.0,40.0,5,0.5,
fold3_room21_mix024.wav,40.0,80.0,1,61.8,61.739999999999995
fold3_room21_mix024.wav,40.0,80.0,3,50.4,65.34
fold3_room21_mix024.wav,40.0,80.0,5,42.9,70.2
fold3_room21_mix025.wav,0.0,40.0,1,0.5,2.187
fold3_room21_mix025.wav,0.0,40.0,5,0.0,10.127
fold3_room21_mix025.wav,0.0,40.0,8,0.0,15.757
fold3_room21_mix025.wav,40.0,80.0,1,45.3,50.62
fold3_room21_mix025.wav,40.0,80.0,4,52.1,54.8
fold3_room21_mix025.wav,40.0,80.0,5,40.0,61.7
fold3_room21_mix025.wav,40.0,80.0,8,40.0,65.2
fold3_room21_mix025.wav,80.0,120.0,1,108.4,100.5
fold3_room21_mix025.wav,80.0,120.0,5,80.0,105.7
fold3_room21_mix025.wav,80.0,120.0,8,80.0,113.3
fold3_room21_mix025.wav,120.0,160.0,1,120.3,150.0
fold3_room21_mix025.wav,120.0,160.0,4,151.7,130.0
fold3_room21_mix025.wav,120.0,160.0,5,120.0,145.0
fold3_room21_mix025.wav,120.0,160.0,8,120.0,155.0
fold3_room21_mix025.wav,160.0,200.0,1,161.2,173.0
fold3_room21_mix025.wav,160.0,200.0,4,167.3,177.0
fold3_room21_mix025.wav,160.0,200.0,5,160.0,187.0
fold3_room21_mix025.wav,160.0,200.0,8,160.0,196.0
fold3_room21_mix025.wav,200.0,240.0,2,218.4,216.5
fold3_room21_mix025.wav,200.0,240.0,1,200.0,213.5
fold3_room21_mix025.wav,200.0,240.0,8,200.0,230.5
fold3_room21_mix025.wav,200.0,240.0,4,204.1,223.5
fold3_room21_mix026.wav,0.0,40.0,1,0.6,31.0
fold3_room21_mix026.wav,0.0,40.0,8,0.0,
fold3_room21_mix026.wav,40.0,80.0,1,71.2,62.45
fold3_room21_mix026.wav,40.0,80.0,4,73.4,63.45
fold3_room21_mix026.wav,40.0,80.0,5,45.3,65.45
fold3_room21_mix026.wav,40.0,80.0,8,40.0,67.45
fold3_room21_mix026.wav,80.0,120.0,1,80.0,94.0
fold3_room21_mix026.wav,80.0,120.0,4,80.8,113.0
fold3_room21_mix026.wav,80.0,120.0,5,80.0,116.0
fold3_room21_mix026.wav,80.0,120.0,8,80.0,118.0
fold3_room21_mix026.wav,120.0,160.0,1,121.3,134.135
fold3_room21_mix026.wav,120.0,160.0,4,134.5,135.035
fold3_room21_mix026.wav,120.0,160.0,5,120.0,135.325
fold3_room21_mix026.wav,120.0,160.0,8,120.0,149.095
fold3_room21_mix026.wav,160.0,200.0,5,160.0,170.68
fold3_room21_mix026.wav,160.0,200.0,8,160.0,194.13
fold3_room21_mix026.wav,200.0,240.0,1,221.7,201.87
fold3_room21_mix026.wav,200.0,240.0,8,200.0,212.6
fold3_room21_mix027.wav,0.0,40.0,7,15.9,26.1
fold3_room21_mix027.wav,0.0,40.0,5,0.0,22.2
fold3_room21_mix027.wav,0.0,40.0,12,13.2,39.9
fold3_room21_mix027.wav,0.0,40.0,1,15.0,14.15
fold3_room21_mix027.wav,40.0,80.0,5,40.0,66.63
fold3_room21_mix027.wav,40.0,80.0,11,46.2,75.3
fold3_room21_mix028.wav,0.0,40.0,11,1.7,29.0
fold3_room21_mix028.wav,0.0,40.0,12,8.2,39.0
fold3_room21_mix028.wav,0.0,40.0,7,11.2,16.0
fold3_room21_mix028.wav,0.0,40.0,1,10.3,1.0
fold3_room21_mix028.wav,40.0,80.0,5,40.0,50.0
fold3_room21_mix028.wav,40.0,80.0,11,40.2,60.0
fold3_room21_mix029.wav,0.0,40.0,1,0.0,15.8
fold3_room21_mix029.wav,0.0,40.0,4,12.6,20.6
fold3_room21_mix029.wav,0.0,40.0,5,0.0,22.3
fold3_room21_mix029.wav,0.0,40.0,8,0.0,28.3
fold3_room21_mix029.wav,40.0,80.0,1,41.9,51.0
fold3_room21_mix029.wav,40.0,80.0,4,46.2,57.0
fold3_room21_mix029.wav,40.0,80.0,5,40.0,64.0
fold3_room21_mix029.wav,40.0,80.0,8,40.0,70.0
fold3_room21_mix029.wav,80.0,120.0,1,97.2,93.5
fold3_room21_mix029.wav,80.0,120.0,5,80.0,96.5
fold3_room21_mix029.wav,80.0,120.0,8,80.0,107.5
fold3_room21_mix029.wav,120.0,160.0,1,123.7,122.35
fold3_room21_mix029.wav,120.0,160.0,4,121.8,131.65
fold3_room21_mix029.wav,120.0,160.0,5,120.0,135.5
fold3_room21_mix029.wav,120.0,160.0,8,120.0,142.75
fold3_room21_mix029.wav,160.0,200.0,1,161.1,171.56
fold3_room21_mix029.wav,160.0,200.0,4,166.0,172.5
fold3_room21_mix029.wav,160.0,200.0,5,160.0,175.5
fold3_room21_mix029.wav,160.0,200.0,8,160.0,183.5
fold3_room22_mix001.wav,0.0,40.0,0,11.8,6.0
fold3_room22_mix001.wav,0.0,40.0,1,6.9,11.0
fold3_room22_mix001.wav,0.0,40.0,6,7.8,28.0
fold3_room22_mix002.wav,0.0,40.0,0,5.8,1.133
fold3_room22_mix002.wav,0.0,40.0,1,0.1,
fold3_room22_mix002.wav,0.0,40.0,4,5.6,23.72
fold3_room22_mix002.wav,0.0,40.0,6,10.9,39.0
fold3_room22_mix002.wav,40.0,80.0,0,57.3,42.58
fold3_room22_mix002.wav,40.0,80.0,1,40.8,51.5
fold3_room22_mix002.wav,40.0,80.0,4,50.3,69.3
fold3_room22_mix003.wav,0.0,40.0,0,26.5,4.16
fold3_room22_mix003.wav,0.0,40.0,1,4.4,26.16
fold3_room22_mix003.wav,0.0,40.0,6,12.4,
fold3_room22_mix004.wav,0.0,40.0,0,3.7,1.44
fold3_room22_mix004.wav,0.0,40.0,1,0.1,1.44
fold3_room22_mix004.wav,0.0,40.0,4,26.1,12.72
fold3_room22_mix004.wav,0.0,40.0,6,6.6,23.72
fold3_room22_mix004.wav,40.0,80.0,3,57.0,53.84
fold3_room22_mix004.wav,40.0,80.0,7,69.1,63.739999999999995
fold3_room22_mix004.wav,40.0,80.0,1,42.3,41.74
