file,win_start,win_end,class,gt_start,pred_start
fold3_room4_mix001.wav,0.0,50.0,6,15.9,12.12
fold3_room4_mix001.wav,0.0,50.0,3,41.4,27.33
fold3_room4_mix001.wav,0.0,50.0,10,27.4,45.12
fold3_room4_mix001.wav,0.0,50.0,7,18.4,35.12
fold3_room4_mix001.wav,50.0,100.0,1,50.4,
fold3_room4_mix004.wav,0.0,50.0,10,49.4,
fold3_room4_mix004.wav,50.0,100.0,3,91.9,75.0
fold3_room4_mix004.wav,50.0,100.0,7,63.0,95.0
fold3_room4_mix004.wav,50.0,100.0,10,50.0,85.0
fold3_room4_mix004.wav,100.0,150.0,1,108.0,101.93
fold3_room4_mix004.wav,100.0,150.0,3,100.0,112.93
fold3_room4_mix004.wav,100.0,150.0,4,132.2,131.2
fold3_room4_mix005.wav,0.0,50.0,5,31.4,34.27
fold3_room4_mix005.wav,0.0,50.0,6,12.9,29.67
fold3_room4_mix005.wav,0.0,50.0,7,19.9,48.93
fold3_room4_mix005.wav,50.0,100.0,5,50.0,88.15
fold3_room4_mix005.wav,50.0,100.0,6,60.4,89.95
fold3_room4_mix005.wav,50.0,100.0,7,85.9,97.75
fold3_room4_mix006.wav,0.0,50.0,1,5.4,1.7
fold3_room4_mix006.wav,50.0,100.0,1,50.0,51.0
fold3_room4_mix006.wav,50.0,100.0,4,79.4,71.0
fold3_room4_mix006.wav,100.0,150.0,1,101.4,102.82
fold3_room4_mix006.wav,100.0,150.0,5,107.4,124.6
fold3_room4_mix007.wav,0.0,50.0,1,5.9,1.3
fold3_room4_mix007.wav,50.0,100.0,1,50.0,50.0
fold3_room4_mix007.wav,50.0,100.0,4,63.9,60.0
fold3_room4_mix007.wav,50.0,100.0,10,99.9,70.0
fold3_room4_mix007.wav,100.0,150.0,1,104.9,105.0
fold3_room4_mix007.wav,100.0,150.0,4,133.9,115.0
fold3_room4_mix007.wav,100.0,150.0,10,100.0,126.0
fold3_room4_mix007.wav,150.0,200.0,1,150.0,150.0
fold3_room4_mix007.wav,150.0,200.0,4,180.9,162.0
fold3_room4_mix008.wav,0.0,50.0,3,30.4,32.0
fold3_room4_mix008.wav,0.0,50.0,6,11.4,34.0
fold3_room4_mix008.wav,0.0,50.0,10,22.9,36.0
fold3_room4_mix008.wav,0.0,50.0,1,45.9,30.0
fold3_room4_mix008.wav,50.0,100.0,1,50.0,60.1
fold3_room4_mix008.wav,100.0,150.0,1,100.0,102.87
fold3_room4_mix008.wav,100.0,150.0,10,118.9,133.6
fold3_room6_mix001.wav,0.0,50.0,0,0.4,0.15
fold3_room6_mix001.wav,0.0,50.0,1,4.9,0.23
fold3_room6_mix001.wav,0.0,50.0,4,36.9,
fold3_room6_mix001.wav,50.0,100.0,2,53.4,64.3
fold3_room6_mix001.wav,50.0,100.0,0,50.0,60.45
fold3_room6_mix001.wav,50.0,100.0,9,61.9,82.6
fold3_room6_mix001.wav,50.0,100.0,1,50.0,62.3
fold3_room6_mix001.wav,100.0,150.0,0,100.4,110.0
fold3_room6_mix001.wav,100.0,150.0,1,100.0,127.0
fold3_room6_mix001.wav,100.0,150.0,9,106.9,140.0
fold3_room6_mix001.wav,150.0,200.0,0,150.9,151.79
fold3_room6_mix001.wav,150.0,200.0,1,150.0,151.79
fold3_room6_mix001.wav,150.0,200.0,9,160.4,151.79
fold3_room6_mix002.wav,0.0,50.0,0,0.4,0.0
fold3_room6_mix002.wav,0.0,50.0,1,0.9,
fold3_room6_mix002.wav,50.0,100.0,0,52.9,83.68
fold3_room6_mix002.wav,50.0,100.0,1,50.0,83.68
fold3_room6_mix002.wav,50.0,100.0,9,76.9,83.68
fold3_room6_mix002.wav,100.0,150.0,0,118.9,117.53
