file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,20.0,1,1.1,0.33,-0.77
fold3_room21_mix001.wav,0.0,20.0,4,3.7,1.33,-2.37
fold3_room21_mix001.wav,20.0,40.0,1,20.0,21.3,1.3
fold3_room21_mix001.wav,20.0,40.0,4,20.3,21.4,1.1
fold3_room21_mix001.wav,40.0,60.0,1,40.0,41.5,1.5
fold3_room21_mix001.wav,60.0,80.0,1,60.0,,
fold3_room21_mix002.wav,0.0,20.0,1,0.8,,
fold3_room21_mix002.wav,20.0,40.0,1,20.0,21.7,1.7
fold3_room21_mix002.wav,20.0,40.0,4,35.8,,
fold3_room21_mix002.wav,40.0,60.0,1,40.0,41.75,1.75
fold3_room21_mix002.wav,40.0,60.0,4,56.4,52.4,-4.0
fold3_room21_mix002.wav,60.0,80.0,1,64.1,,
fold3_room21_mix002.wav,80.0,100.0,1,82.9,,
fold3_room21_mix002.wav,100.0,120.0,1,100.6,,
fold3_room21_mix002.wav,120.0,140.0,1,121.6,121.17,-0.43
fold3_room21_mix002.wav,120.0,140.0,4,132.4,121.5,-10.9
fold3_room21_mix003.wav,0.0,20.0,1,0.8,1.9,1.1
fold3_room21_mix003.wav,0.0,20.0,8,0.0,,
fold3_room21_mix003.wav,20.0,40.0,1,20.0,21.89,1.89
fold3_room21_mix003.wav,20.0,40.0,4,30.1,21.94,-8.16
fold3_room21_mix003.wav,20.0,40.0,8,23.5,21.99,-1.51
fold3_room21_mix003.wav,40.0,60.0,1,40.0,41.0,1.0
fold3_room21_mix003.wav,40.0,60.0,8,40.0,55.0,15.0
fold3_room21_mix003.wav,60.0,80.0,1,60.0,61.32,1.32
fold3_room21_mix003.wav,60.0,80.0,4,75.4,61.32,-14.08
fold3_room21_mix003.wav,60.0,80.0,8,60.0,61.32,1.32
fold3_room21_mix003.wav,80.0,100.0,1,80.0,81.4,1.4
fold3_room21_mix003.wav,80.0,100.0,8,80.0,81.4,1.4
fold3_room21_mix004.wav,0.0,20.0,1,0.7,1.73,1.03
fold3_room21_mix004.wav,0.0,20.0,4,7.5,1.97,-5.53
fold3_room21_mix004.wav,0.0,20.0,5,0.0,1.97,1.97
fold3_room21_mix004.wav,0.0,20.0,11,0.0,1.97,1.97
fold3_room21_mix005.wav,0.0,20.0,1,1.1,1.7,0.6
fold3_room21_mix005.wav,20.0,40.0,1,20.0,21.7,1.7
fold3_room21_mix005.wav,40.0,60.0,1,40.0,52.0,12.0
fold3_room21_mix006.wav,0.0,20.0,1,0.0,1.2,1.2
fold3_room21_mix007.wav,0.0,20.0,1,9.7,1.5,-8.2
fold3_room21_mix007.wav,0.0,20.0,8,0.0,13.5,13.5
fold3_room21_mix007.wav,20.0,40.0,1,20.2,33.65,13.45
fold3_room21_mix007.wav,20.0,40.0,8,20.0,35.4,15.4
fold3_room21_mix007.wav,40.0,60.0,1,40.0,50.0,10.0
fold3_room21_mix007.wav,40.0,60.0,8,40.0,,
fold3_room21_mix008.wav,0.0,20.0,1,0.2,,
fold3_room21_mix008.wav,20.0,40.0,1,21.4,,
fold3_room21_mix008.wav,40.0,60.0,1,40.0,,
fold3_room21_mix008.wav,60.0,80.0,1,60.0,73.7,13.7
fold3_room21_mix008.wav,80.0,100.0,1,80.0,,
fold3_room21_mix008.wav,100.0,120.0,1,100.0,112.5,12.5
fold3_room21_mix008.wav,100.0,120.0,4,107.3,115.5,8.2
fold3_room21_mix008.wav,120.0,140.0,1,121.6,121.8,0.2
fold3_room21_mix008.wav,120.0,140.0,4,120.0,,
fold3_room21_mix009.wav,0.0,20.0,5,0.0,1.5,1.5
fold3_room21_mix009.wav,0.0,20.0,8,0.0,14.5,14.5
fold3_room21_mix009.wav,0.0,20.0,11,6.5,17.5,11.0
fold3_room21_mix009.wav,20.0,40.0,5,20.0,21.1,1.1
fold3_room21_mix009.wav,20.0,40.0,8,20.0,32.3,12.3
fold3_room21_mix009.wav,20.0,40.0,11,20.8,35.2,14.4
fold3_room21_mix009.wav,40.0,60.0,5,40.0,41.3,1.3
fold3_room21_mix009.wav,40.0,60.0,8,40.0,41.5,1.5
fold3_room21_mix009.wav,40.0,60.0,11,51.0,41.7,-9.3
fold3_room21_mix009.wav,60.0,80.0,5,60.0,61.23,1.23
fold3_room21_mix009.wav,60.0,80.0,8,60.0,61.56,1.56
fold3_room21_mix009.wav,60.0,80.0,11,66.8,61.78,-5.02
fold3_room21_mix009.wav,80.0,100.0,5,80.0,81.2,1.2
fold3_room21_mix009.wav,80.0,100.0,8,80.0,95.5,15.5
fold3_room21_mix009.wav,80.0,100.0,11,81.7,98.0,16.3
fold3_room21_mix010.wav,0.0,20.0,1,0.5,1.0,0.5
