file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room4_mix001.wav,0.0,40.0,6,15.9,25.0,9.1
fold3_room4_mix001.wav,0.0,40.0,7,18.4,15.0,-3.4
fold3_room4_mix001.wav,0.0,40.0,10,27.4,35.0,7.6
fold3_room4_mix001.wav,40.0,80.0,1,48.4,41.69,-6.71
fold3_room4_mix001.wav,40.0,80.0,3,41.4,41.89,0.49
fold3_room4_mix001.wav,40.0,80.0,6,41.4,42.19,0.79
fold3_room4_mix001.wav,80.0,120.0,1,80.0,81.0,1.0
fold3_room4_mix001.wav,80.0,120.0,7,119.4,90.0,-29.4
fold3_room4_mix001.wav,80.0,120.0,10,107.4,94.0,-13.4
fold3_room4_mix004.wav,40.0,80.0,7,63.0,72.5,9.5
fold3_room4_mix004.wav,40.0,80.0,10,49.4,74.5,25.1
fold3_room4_mix004.wav,80.0,120.0,1,108.0,107.77,-0.23
fold3_room4_mix004.wav,80.0,120.0,3,91.9,119.0,27.1
fold3_room4_mix005.wav,0.0,40.0,5,31.4,27.0,-4.4
fold3_room4_mix005.wav,0.0,40.0,6,12.9,13.0,0.1
fold3_room4_mix005.wav,0.0,40.0,7,19.9,34.0,14.1
fold3_room4_mix005.wav,40.0,80.0,5,40.0,66.9,26.9
fold3_room4_mix005.wav,40.0,80.0,6,60.4,69.9,9.5
fold3_room4_mix006.wav,0.0,40.0,1,5.4,2.3,-3.1
fold3_room4_mix006.wav,40.0,80.0,1,40.0,51.85,11.85
fold3_room4_mix006.wav,40.0,80.0,4,79.4,,
fold3_room4_mix006.wav,80.0,120.0,1,80.0,81.23,1.23
fold3_room4_mix006.wav,80.0,120.0,4,92.4,94.73,2.33
fold3_room4_mix006.wav,80.0,120.0,5,107.4,106.1,-1.3
fold3_room4_mix006.wav,120.0,160.0,1,127.9,130.8,2.9
fold3_room4_mix006.wav,120.0,160.0,5,120.0,,
fold3_room4_mix007.wav,0.0,40.0,1,5.9,1.7,-4.2
fold3_room4_mix007.wav,40.0,80.0,1,40.0,40.25,0.25
fold3_room4_mix007.wav,40.0,80.0,4,63.9,50.0,-13.9
fold3_room4_mix007.wav,80.0,120.0,1,80.0,81.7,1.7
fold3_room4_mix007.wav,80.0,120.0,10,99.9,,
fold3_room4_mix007.wav,120.0,160.0,1,120.0,121.85,1.85
fold3_room4_mix007.wav,120.0,160.0,4,133.9,133.2,-0.7
fold3_room4_mix007.wav,160.0,200.0,1,161.4,161.333,-0.07
fold3_room4_mix007.wav,160.0,200.0,4,180.9,172.933,-7.97
fold3_room4_mix008.wav,0.0,40.0,3,30.4,31.5,1.1
fold3_room4_mix008.wav,0.0,40.0,6,11.4,29.5,18.1
fold3_room4_mix008.wav,0.0,40.0,7,17.4,34.5,17.1
fold3_room4_mix008.wav,0.0,40.0,10,22.9,37.5,14.6
fold3_room4_mix008.wav,40.0,80.0,1,45.9,,
fold3_room4_mix008.wav,80.0,120.0,1,80.0,90.0,10.0
fold3_room4_mix008.wav,80.0,120.0,10,118.9,,
fold3_room4_mix008.wav,120.0,160.0,1,120.0,132.44,12.44
fold3_room4_mix008.wav,120.0,160.0,10,120.0,,
fold3_room6_mix001.wav,0.0,40.0,0,0.4,0.29,-0.11
fold3_room6_mix001.wav,0.0,40.0,1,4.9,1.08,-3.82
fold3_room6_mix001.wav,0.0,40.0,4,36.9,1.33,-35.57
fold3_room6_mix001.wav,40.0,80.0,0,40.4,60.77,20.37
fold3_room6_mix001.wav,40.0,80.0,1,40.0,67.77,27.77
fold3_room6_mix001.wav,40.0,80.0,2,53.4,72.77000000000001,19.37
fold3_room6_mix001.wav,40.0,80.0,9,61.9,,
fold3_room6_mix001.wav,80.0,120.0,0,93.9,92.19,-1.71
fold3_room6_mix001.wav,80.0,120.0,1,91.9,,
fold3_room6_mix001.wav,80.0,120.0,4,95.4,93.82,-1.58
fold3_room6_mix001.wav,80.0,120.0,9,80.0,102.53,22.53
fold3_room6_mix001.wav,120.0,160.0,0,126.4,120.0,-6.4
fold3_room6_mix001.wav,120.0,160.0,1,128.9,125.0,-3.9
fold3_room6_mix001.wav,120.0,160.0,9,120.0,148.0,28.0
fold3_room6_mix001.wav,160.0,200.0,0,188.9,189.0,0.1
fold3_room6_mix001.wav,160.0,200.0,1,190.4,189.0,-1.4
fold3_room6_mix001.wav,160.0,200.0,9,160.4,189.0,28.6
fold3_room6_mix002.wav,0.0,40.0,0,0.4,0.1,-0.3
fold3_room6_mix002.wav,0.0,40.0,1,0.9,,
fold3_room6_mix002.wav,40.0,80.0,0,43.4,54.65,11.25
fold3_room6_mix002.wav,40.0,80.0,1,40.0,69.65,29.65
fold3_room6_mix002.wav,40.0,80.0,9,76.9,79.95,3.05
fold3_room6_mix002.wav,80.0,120.0,0,118.9,108.16,-10.74
fold3_room6_mix002.wav,80.0,120.0,1,117.9,108.16,-9.74
fold3_room6_mix002.wav,80.0,120.0,9,80.0,108.16,28.16
fold3_room6_mix002.wav,120.0,160.0,0,120.0,131.47,11.47
fold3_room6_mix002.wav,120.0,160.0,1,124.4,133.7,9.3
fold3_room6_mix002.wav,120.0,160.0,4,125.4,143.1,17.7
fold3_room6_mix002.wav,120.0,160.0,6,151.4,151.3,-0.1
fold3_room6_mix002.wav,160.0,200.0,1,190.9,183.0,-7.9
fold3_room6_mix002.wav,160.0,200.0,0,190.9,180.0,-10.9
fold3_room6_mix002.wav,160.0,200.0,9,164.9,197.0,32.1
fold3_room6_mix002.wav,160.0,200.0,4,191.9,194.0,2.1
fold3_room6_mix002.wav,200.0,240.0,0,200.0,216.92,16.92
fold3_room6_mix002.wav,200.0,240.0,1,200.0,225.8,25.8
fold3_room6_mix002.wav,200.0,240.0,9,210.9,234.2,23.3
fold3_room6_mix003.wav,0.0,40.0,0,5.9,2.333333333333333,-3.57
fold3_room6_mix003.wav,0.0,40.0,1,2.9,13.333333333333334,10.43
fold3_room6_mix003.wav,0.0,40.0,4,37.4,25.33333333333333,-12.07
fold3_room6_mix003.wav,40.0,80.0,0,40.0,40.0,0.0
fold3_room6_mix003.wav,40.0,80.0,1,40.0,41.0,1.0
fold3_room6_mix003.wav,80.0,120.0,0,80.0,80.0,0.0
fold3_room6_mix003.wav,80.0,120.0,1,80.0,90.0,10.0
fold3_room6_mix003.wav,80.0,120.0,4,89.9,113.0,23.1
fold3_room6_mix003.wav,120.0,160.0,0,132.9,135.3,2.4
fold3_room6_mix003.wav,120.0,160.0,1,120.0,,
fold3_room6_mix003.wav,160.0,200.0,0,167.4,160.4,-7.0
fold3_room6_mix003.wav,160.0,200.0,1,160.0,,
fold3_room6_mix003.wav,200.0,240.0,0,209.9,200.0,-9.9
fold3_room6_mix003.wav,200.0,240.0,1,200.0,,
fold3_room6_mix003.wav,200.0,240.0,3,225.9,201.0,-24.9
fold3_room6_mix003.wav,200.0,240.0,6,237.9,229.0,-8.9
fold3_room6_mix003.wav,240.0,280.0,0,240.9,253.0,12.1
fold3_room6_mix003.wav,240.0,280.0,6,257.9,,
fold3_room6_mix003.wav,280.0,320.0,0,280.0,280.0,0.0
fold3_room6_mix003.wav,280.0,320.0,1,289.4,292.0,2.6
fold3_room6_mix003.wav,280.0,320.0,6,307.9,306.0,-1.9
fold3_room6_mix003.wav,280.0,320.0,7,311.9,317.0,5.1
fold3_room6_mix004.wav,0.0,40.0,0,4.9,0.0,-4.9
fold3_room6_mix004.wav,0.0,40.0,1,6.9,,
fold3_room6_mix004.wav,40.0,80.0,0,43.9,54.0,10.1
fold3_room6_mix004.wav,40.0,80.0,1,40.0,,
fold3_room6_mix004.wav,80.0,120.0,0,80.0,92.8,12.8
fold3_room6_mix004.wav,80.0,120.0,1,80.9,,
fold3_room6_mix004.wav,120.0,160.0,0,123.4,121.1,-2.3
fold3_room6_mix004.wav,120.0,160.0,1,120.0,,
fold3_room6_mix004.wav,160.0,200.0,0,164.4,161.0,-3.4
fold3_room6_mix004.wav,160.0,200.0,1,160.0,,
fold3_room6_mix004.wav,200.0,240.0,0,200.0,213.0,13.0
fold3_room6_mix004.wav,200.0,240.0,1,211.9,,
fold3_room6_mix004.wav,240.0,280.0,0,240.9,241.5,0.6
fold3_room6_mix004.wav,240.0,280.0,1,242.9,250.7,7.8
fold3_room6_mix004.wav,240.0,280.0,3,241.4,254.6,13.2
fold3_room6_mix004.wav,240.0,280.0,6,250.9,264.9,14.0
fold3_room6_mix005.wav,0.0,40.0,0,18.9,6.35,-12.55
fold3_room6_mix005.wav,0.0,40.0,1,6.4,,
fold3_room6_mix005.wav,40.0,80.0,0,40.0,42.6,2.6
fold3_room6_mix005.wav,40.0,80.0,1,47.4,,
fold3_room6_mix005.wav,80.0,120.0,0,80.0,95.52,15.52
fold3_room6_mix005.wav,80.0,120.0,1,82.9,96.52,13.62
fold3_room6_mix005.wav,80.0,120.0,9,89.9,109.52,19.62
fold3_room6_mix005.wav,120.0,160.0,0,153.4,134.9,-18.5
fold3_room6_mix005.wav,120.0,160.0,1,154.9,147.6,-7.3
fold3_room6_mix005.wav,120.0,160.0,4,156.9,155.8,-1.1
fold3_room6_mix005.wav,120.0,160.0,9,120.0,157.5,37.5
fold3_room6_mix005.wav,160.0,200.0,1,160.0,175.0,15.0
fold3_room6_mix005.wav,160.0,200.0,9,167.4,187.0,19.6
fold3_room6_mix005.wav,200.0,240.0,0,208.9,201.0,-7.9
fold3_room6_mix005.wav,200.0,240.0,1,212.4,201.0,-11.4
fold3_room6_mix005.wav,200.0,240.0,9,200.0,201.0,1.0
