file,win_start,win_end,class,gt_start,pred_start
fold3_room4_mix001.wav,0.0,50.0,3,41.4,20.25
fold3_room4_mix001.wav,0.0,50.0,1,48.4,13.75
fold3_room4_mix001.wav,0.0,50.0,6,15.9,24.75
fold3_room4_mix001.wav,0.0,50.0,7,18.4,30.25
fold3_room4_mix001.wav,50.0,100.0,1,50.4,76.0
fold3_room4_mix004.wav,0.0,50.0,10,49.4,2.5
fold3_room4_mix004.wav,50.0,100.0,3,91.9,
fold3_room4_mix004.wav,50.0,100.0,7,63.0,62.0
fold3_room4_mix004.wav,50.0,100.0,10,50.0,67.0
fold3_room4_mix004.wav,100.0,150.0,1,108.0,
fold3_room4_mix004.wav,100.0,150.0,3,100.0,
fold3_room4_mix004.wav,100.0,150.0,4,132.2,
fold3_room4_mix005.wav,0.0,50.0,5,31.4,
fold3_room4_mix005.wav,0.0,50.0,6,12.9,
fold3_room4_mix005.wav,0.0,50.0,7,19.9,
fold3_room4_mix005.wav,50.0,100.0,5,50.0,51.5
fold3_room4_mix005.wav,50.0,100.0,6,60.4,52.5
fold3_room4_mix005.wav,50.0,100.0,7,85.9,53.5
fold3_room4_mix006.wav,0.0,50.0,1,5.4,2.4
fold3_room4_mix006.wav,50.0,100.0,1,50.0,
fold3_room4_mix006.wav,50.0,100.0,4,79.4,
fold3_room4_mix006.wav,100.0,150.0,1,101.4,101.5
fold3_room4_mix006.wav,100.0,150.0,5,107.4,101.5
fold3_room4_mix007.wav,0.0,50.0,1,5.9,
fold3_room4_mix007.wav,50.0,100.0,1,50.0,51.5
fold3_room4_mix007.wav,50.0,100.0,4,63.9,52.5
fold3_room4_mix007.wav,50.0,100.0,10,99.9,
fold3_room4_mix007.wav,100.0,150.0,1,104.9,101.0
fold3_room4_mix007.wav,100.0,150.0,4,133.9,101.0
fold3_room4_mix007.wav,100.0,150.0,10,100.0,
fold3_room4_mix007.wav,150.0,200.0,1,150.0,
fold3_room4_mix007.wav,150.0,200.0,4,180.9,
fold3_room4_mix008.wav,0.0,50.0,7,17.4,1.5
fold3_room4_mix008.wav,0.0,50.0,1,45.9,1.25
fold3_room4_mix008.wav,0.0,50.0,6,11.4,1.5
fold3_room4_mix008.wav,0.0,50.0,10,22.9,1.75
fold3_room4_mix008.wav,50.0,100.0,1,50.0,52.0
fold3_room4_mix008.wav,100.0,150.0,1,100.0,102.5
fold3_room4_mix008.wav,100.0,150.0,10,118.9,102.5
fold3_room6_mix001.wav,0.0,50.0,0,0.4,2.0
fold3_room6_mix001.wav,0.0,50.0,1,4.9,11.0
fold3_room6_mix001.wav,0.0,50.0,4,36.9,24.0
fold3_room6_mix001.wav,50.0,100.0,4,95.4,51.7
fold3_room6_mix001.wav,50.0,100.0,0,50.0,51.7
fold3_room6_mix001.wav,50.0,100.0,2,53.4,51.7
fold3_room6_mix001.wav,50.0,100.0,9,61.9,
fold3_room6_mix001.wav,100.0,150.0,0,100.4,101.75
fold3_room6_mix001.wav,100.0,150.0,1,100.0,103.75
fold3_room6_mix001.wav,100.0,150.0,9,106.9,
fold3_room6_mix001.wav,150.0,200.0,0,150.9,
fold3_room6_mix001.wav,150.0,200.0,1,150.0,
fold3_room6_mix001.wav,150.0,200.0,9,160.4,
fold3_room6_mix002.wav,0.0,50.0,0,0.4,2.0
fold3_room6_mix002.wav,0.0,50.0,1,0.9,1.0
fold3_room6_mix002.wav,50.0,100.0,0,52.9,51.5
fold3_room6_mix002.wav,50.0,100.0,1,50.0,51.5
fold3_room6_mix002.wav,50.0,100.0,9,76.9,
fold3_room6_mix002.wav,100.0,150.0,0,118.9,102.0
fold3_room6_mix002.wav,100.0,150.0,1,117.9,101.0
fold3_room6_mix002.wav,100.0,150.0,4,125.4,103.0
fold3_room6_mix002.wav,100.0,150.0,9,100.0,
fold3_room6_mix002.wav,150.0,200.0,4,191.9,151.0
fold3_room6_mix002.wav,150.0,200.0,6,151.4,151.0
fold3_room6_mix002.wav,150.0,200.0,1,150.0,151.0
fold3_room6_mix002.wav,150.0,200.0,9,164.9,
fold3_room6_mix002.wav,200.0,250.0,0,200.0,
fold3_room6_mix002.wav,200.0,250.0,1,200.0,
fold3_room6_mix002.wav,200.0,250.0,4,247.4,
fold3_room6_mix002.wav,200.0,250.0,9,210.9,
fold3_room6_mix003.wav,0.0,50.0,0,5.9,2.5
fold3_room6_mix003.wav,0.0,50.0,1,2.9,1.5
fold3_room6_mix003.wav,0.0,50.0,4,37.4,3.5
fold3_room6_mix003.wav,50.0,100.0,0,50.4,52.0
fold3_room6_mix003.wav,50.0,100.0,1,50.0,62.0
fold3_room6_mix003.wav,50.0,100.0,4,89.9,70.0
fold3_room6_mix003.wav,100.0,150.0,0,100.0,101.0
fold3_room6_mix003.wav,100.0,150.0,1,101.4,102.0
fold3_room6_mix003.wav,150.0,200.0,0,167.4,151.75
