file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,50.0,1,1.1,,
fold3_room21_mix001.wav,0.0,50.0,4,3.7,,
fold3_room21_mix002.wav,0.0,50.0,1,0.8,16.0,15.2
fold3_room21_mix002.wav,0.0,50.0,4,35.8,21.0,-14.8
fold3_room21_mix002.wav,50.0,100.0,1,50.0,66.5,16.5
fold3_room21_mix002.wav,50.0,100.0,4,56.4,76.5,20.1
fold3_room21_mix003.wav,0.0,50.0,1,0.8,1.7,0.9
fold3_room21_mix003.wav,0.0,50.0,4,30.1,1.7,-28.4
fold3_room21_mix003.wav,0.0,50.0,8,0.0,,
fold3_room21_mix003.wav,50.0,100.0,1,50.4,60.4,10.0
fold3_room21_mix003.wav,50.0,100.0,4,75.4,66.7,-8.7
fold3_room21_mix003.wav,50.0,100.0,8,50.0,74.5,24.5
fold3_room21_mix005.wav,0.0,50.0,1,1.1,,
fold3_room21_mix007.wav,0.0,50.0,1,9.7,2.5,-7.2
fold3_room21_mix007.wav,0.0,50.0,8,0.0,2.5,2.5
fold3_room21_mix008.wav,0.0,50.0,1,0.2,,
fold3_room21_mix008.wav,50.0,100.0,1,58.3,,
fold3_room21_mix008.wav,100.0,150.0,1,100.0,114.75,14.75
fold3_room21_mix008.wav,100.0,150.0,4,107.3,121.25,13.95
fold3_room21_mix009.wav,0.0,50.0,5,0.0,1.5,1.5
fold3_room21_mix009.wav,0.0,50.0,8,0.0,1.5,1.5
fold3_room21_mix009.wav,0.0,50.0,11,6.5,1.5,-5.0
fold3_room21_mix009.wav,50.0,100.0,5,50.0,51.75,1.75
fold3_room21_mix009.wav,50.0,100.0,8,58.2,51.75,-6.45
fold3_room21_mix009.wav,50.0,100.0,11,51.0,51.75,0.75
fold3_room21_mix010.wav,0.0,50.0,1,0.5,1.0,0.5
fold3_room21_mix010.wav,0.0,50.0,5,0.0,1.0,1.0
fold3_room21_mix010.wav,0.0,50.0,8,0.0,1.0,1.0
fold3_room21_mix010.wav,0.0,50.0,11,0.1,1.0,0.9
fold3_room21_mix011.wav,0.0,50.0,5,0.0,1.25,1.25
fold3_room21_mix011.wav,0.0,50.0,8,0.0,1.75,1.75
fold3_room21_mix011.wav,0.0,50.0,11,5.9,4.5,-1.4
