file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room4_mix001.wav,0.0,90.0,3,41.4,,
fold3_room4_mix001.wav,0.0,90.0,7,18.4,3.0,-15.4
fold3_room4_mix001.wav,0.0,90.0,1,48.4,2.0,-46.4
fold3_room4_mix001.wav,0.0,90.0,10,27.4,4.0,-23.4
fold3_room4_mix004.wav,0.0,90.0,7,63.0,10.5,-52.5
fold3_room4_mix004.wav,0.0,90.0,10,49.4,19.5,-29.9
fold3_room4_mix005.wav,0.0,90.0,5,31.4,1.0,-30.4
fold3_room4_mix005.wav,0.0,90.0,6,12.9,1.0,-11.9
fold3_room4_mix005.wav,0.0,90.0,7,19.9,1.0,-18.9
fold3_room4_mix006.wav,0.0,90.0,1,5.4,2.0,-3.4
fold3_room4_mix006.wav,0.0,90.0,4,79.4,3.0,-76.4
fold3_room4_mix006.wav,90.0,180.0,1,90.0,,
fold3_room4_mix006.wav,90.0,180.0,4,92.4,,
fold3_room4_mix006.wav,90.0,180.0,5,107.4,,
fold3_room4_mix007.wav,0.0,90.0,1,5.9,,
fold3_room4_mix007.wav,0.0,90.0,4,63.9,,
fold3_room4_mix007.wav,90.0,180.0,1,90.0,108.0,18.0
fold3_room4_mix007.wav,90.0,180.0,4,133.9,111.0,-22.9
fold3_room4_mix007.wav,90.0,180.0,10,99.9,,
fold3_room4_mix008.wav,0.0,90.0,1,45.9,1.0,-44.9
fold3_room4_mix008.wav,0.0,90.0,7,17.4,1.0,-16.4
fold3_room4_mix008.wav,0.0,90.0,10,22.9,1.0,-21.9
fold3_room4_mix008.wav,0.0,90.0,6,11.4,1.0,-10.4
fold3_room6_mix001.wav,0.0,90.0,1,4.9,10.67,5.77
fold3_room6_mix001.wav,0.0,90.0,9,61.9,26.8,-35.1
fold3_room6_mix001.wav,0.0,90.0,2,53.4,14.75,-38.65
fold3_room6_mix001.wav,0.0,90.0,0,0.4,2.14,1.74
fold3_room6_mix001.wav,90.0,180.0,0,93.9,,
fold3_room6_mix001.wav,90.0,180.0,1,91.9,,
fold3_room6_mix001.wav,90.0,180.0,4,95.4,,
fold3_room6_mix001.wav,90.0,180.0,9,90.0,,
fold3_room6_mix002.wav,0.0,90.0,0,0.4,2.0,1.6
fold3_room6_mix002.wav,0.0,90.0,1,0.9,10.0,9.1
fold3_room6_mix002.wav,0.0,90.0,9,76.9,28.0,-48.9
fold3_room6_mix002.wav,90.0,180.0,4,125.4,91.0,-34.4
fold3_room6_mix002.wav,90.0,180.0,1,117.9,91.0,-26.9
fold3_room6_mix002.wav,90.0,180.0,9,90.0,,
fold3_room6_mix002.wav,90.0,180.0,6,151.4,91.0,-60.4
fold3_room6_mix003.wav,0.0,90.0,0,5.9,4.0,-1.9
fold3_room6_mix003.wav,0.0,90.0,1,2.9,10.0,7.1
fold3_room6_mix003.wav,0.0,90.0,4,37.4,20.0,-17.4
fold3_room6_mix003.wav,90.0,180.0,0,91.4,,
fold3_room6_mix003.wav,90.0,180.0,1,90.0,,
fold3_room6_mix003.wav,90.0,180.0,4,90.0,,
fold3_room6_mix003.wav,180.0,270.0,0,183.4,,
fold3_room6_mix003.wav,180.0,270.0,1,180.0,,
fold3_room6_mix003.wav,180.0,270.0,3,225.9,,
fold3_room6_mix003.wav,180.0,270.0,6,237.9,,
fold3_room6_mix004.wav,0.0,90.0,0,4.9,2.0,-2.9
fold3_room6_mix004.wav,0.0,90.0,1,6.9,3.0,-3.9
fold3_room6_mix004.wav,90.0,180.0,0,90.4,93.0,2.6
fold3_room6_mix004.wav,90.0,180.0,1,90.0,92.0,2.0
fold3_room6_mix004.wav,180.0,270.0,0,180.0,182.5,2.5
fold3_room6_mix004.wav,180.0,270.0,1,183.4,182.5,-0.9
fold3_room6_mix004.wav,180.0,270.0,3,241.4,182.5,-58.9
fold3_room6_mix004.wav,180.0,270.0,6,250.9,182.5,-68.4
fold3_room6_mix005.wav,0.0,90.0,0,18.9,1.2,-17.7
fold3_room6_mix005.wav,0.0,90.0,1,6.4,1.7,-4.7
fold3_room6_mix005.wav,0.0,90.0,9,89.9,1.8,-88.1
fold3_room6_mix005.wav,90.0,180.0,0,153.4,91.1,-62.3
fold3_room6_mix005.wav,90.0,180.0,1,154.9,91.5,-63.4
fold3_room6_mix005.wav,90.0,180.0,4,156.9,92.4,-64.5
fold3_room6_mix005.wav,90.0,180.0,9,90.0,,
fold3_room6_mix005.wav,180.0,270.0,0,208.9,181.5,-27.4
fold3_room6_mix005.wav,180.0,270.0,1,212.4,181.5,-30.9
fold3_room6_mix005.wav,180.0,270.0,2,267.9,181.5,-86.4
fold3_room6_mix005.wav,180.0,270.0,9,180.0,181.5,1.5
fold3_room6_mix006.wav,0.0,90.0,0,6.4,1.14,-5.26
fold3_room6_mix006.wav,0.0,90.0,1,3.9,2.16,-1.74
fold3_room6_mix006.wav,0.0,90.0,6,7.4,3.45,-3.95
fold3_room6_mix006.wav,0.0,90.0,7,89.9,4.65,-85.25
fold3_room6_mix007.wav,0.0,90.0,1,6.4,2.0,-4.4
fold3_room6_mix007.wav,0.0,90.0,5,53.9,2.0,-51.9
fold3_room6_mix007.wav,90.0,180.0,1,165.9,92.0,-73.9
fold3_room6_mix007.wav,90.0,180.0,5,90.0,100.0,10.0
fold3_room6_mix007.wav,90.0,180.0,8,98.4,130.0,31.6
fold3_room7_mix001.wav,0.0,90.0,1,4.4,,
fold3_room7_mix001.wav,0.0,90.0,4,64.9,,
fold3_room7_mix002.wav,0.0,90.0,1,3.4,2.5,-0.9
fold3_room7_mix002.wav,0.0,90.0,4,21.9,4.5,-17.4
fold3_room7_mix002.wav,90.0,180.0,1,90.0,,
fold3_room7_mix002.wav,90.0,180.0,4,102.4,,
fold3_room7_mix002.wav,180.0,270.0,1,180.0,183.0,3.0
fold3_room7_mix002.wav,180.0,270.0,3,189.9,191.0,1.1
fold3_room7_mix002.wav,180.0,270.0,4,183.4,200.0,16.6
fold3_room7_mix003.wav,0.0,90.0,1,2.9,45.0,42.1
fold3_room7_mix003.wav,0.0,90.0,6,57.4,,
fold3_room7_mix003.wav,0.0,90.0,8,13.4,,
fold3_room7_mix003.wav,90.0,180.0,1,90.0,,
fold3_room7_mix003.wav,90.0,180.0,4,102.9,,
fold3_room7_mix003.wav,90.0,180.0,8,90.0,,
fold3_room7_mix004.wav,0.0,90.0,0,7.9,4.0,-3.9
fold3_room7_mix004.wav,0.0,90.0,4,25.9,10.0,-15.9
fold3_room7_mix004.wav,90.0,180.0,0,90.0,,
fold3_room7_mix004.wav,90.0,180.0,4,143.9,,
fold3_room7_mix004.wav,180.0,270.0,0,180.0,,
fold3_room7_mix004.wav,180.0,270.0,2,197.9,,
fold3_room7_mix004.wav,180.0,270.0,4,181.9,,
fold3_room7_mix005.wav,0.0,90.0,0,4.9,,
fold3_room7_mix005.wav,90.0,180.0,0,90.0,,
fold3_room7_mix005.wav,90.0,180.0,4,97.4,,
fold3_room7_mix006.wav,0.0,90.0,0,3.9,2.6,-1.3
fold3_room7_mix006.wav,0.0,90.0,4,70.9,11.5,-59.4
fold3_room7_mix006.wav,0.0,90.0,8,64.4,60.0,-4.4
fold3_room7_mix006.wav,90.0,180.0,0,90.4,91.0,0.6
fold3_room7_mix006.wav,90.0,180.0,2,110.9,91.0,-19.9
fold3_room7_mix006.wav,90.0,180.0,4,106.4,91.0,-15.4
fold3_room7_mix006.wav,90.0,180.0,8,90.0,,
fold3_room7_mix006.wav,180.0,270.0,0,180.0,180.0,0.0
fold3_room7_mix006.wav,180.0,270.0,4,207.9,181.0,-26.9
fold3_room7_mix006.wav,180.0,270.0,8,180.0,185.0,5.0
fold3_room9_mix001.wav,0.0,90.0,0,4.4,,
