file,win_start,win_end,class,gt_start,pred_start
fold3_room21_mix001.wav,0.0,40.0,1,1.1,0.0
fold3_room21_mix001.wav,0.0,40.0,4,3.7,10.0
fold3_room21_mix001.wav,40.0,80.0,1,40.0,
fold3_room21_mix002.wav,0.0,40.0,1,0.8,0.0
fold3_room21_mix002.wav,0.0,40.0,4,35.8,10.0
fold3_room21_mix002.wav,40.0,80.0,1,40.0,
fold3_room21_mix002.wav,40.0,80.0,4,56.4,
fold3_room21_mix002.wav,80.0,120.0,1,82.9,
fold3_room21_mix003.wav,0.0,40.0,1,0.8,
fold3_room21_mix003.wav,0.0,40.0,4,30.1,
fold3_room21_mix003.wav,0.0,40.0,8,0.0,
fold3_room21_mix003.wav,40.0,80.0,1,40.0,
fold3_room21_mix003.wav,40.0,80.0,4,75.4,
fold3_room21_mix003.wav,40.0,80.0,8,40.0,
fold3_room21_mix005.wav,0.0,40.0,1,1.1,0.0
fold3_room21_mix007.wav,0.0,40.0,1,9.7,
fold3_room21_mix007.wav,0.0,40.0,8,0.0,
fold3_room21_mix008.wav,0.0,40.0,1,0.2,
fold3_room21_mix008.wav,40.0,80.0,1,40.0,
fold3_room21_mix008.wav,80.0,120.0,1,80.0,
fold3_room21_mix008.wav,80.0,120.0,4,107.3,
fold3_room21_mix009.wav,0.0,40.0,5,0.0,
fold3_room21_mix009.wav,0.0,40.0,8,0.0,
fold3_room21_mix009.wav,0.0,40.0,11,6.5,
fold3_room21_mix009.wav,40.0,80.0,5,40.0,
fold3_room21_mix009.wav,40.0,80.0,8,40.0,
fold3_room21_mix009.wav,40.0,80.0,11,51.0,
fold3_room21_mix010.wav,0.0,40.0,1,0.5,
fold3_room21_mix010.wav,0.0,40.0,5,0.0,
fold3_room21_mix010.wav,0.0,40.0,8,0.0,
fold3_room21_mix010.wav,0.0,40.0,11,0.1,
fold3_room21_mix010.wav,40.0,80.0,5,40.0,40.0
fold3_room21_mix010.wav,40.0,80.0,8,40.0,41.0
fold3_room21_mix010.wav,40.0,80.0,11,45.3,41.0
fold3_room21_mix011.wav,0.0,40.0,5,0.0,
fold3_room21_mix011.wav,0.0,40.0,8,0.0,
fold3_room21_mix011.wav,0.0,40.0,11,5.9,
fold3_room21_mix012.wav,0.0,40.0,1,0.0,
fold3_room21_mix012.wav,0.0,40.0,4,25.4,
fold3_room21_mix012.wav,0.0,40.0,8,0.0,
fold3_room21_mix012.wav,40.0,80.0,1,40.0,
fold3_room21_mix012.wav,40.0,80.0,4,50.7,
