file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,30.0,1,1.1,,
fold3_room21_mix001.wav,0.0,30.0,4,3.7,,
fold3_room21_mix001.wav,30.0,60.0,1,30.0,,
fold3_room21_mix001.wav,30.0,60.0,4,36.3,,
fold3_room21_mix002.wav,0.0,30.0,1,0.8,,
fold3_room21_mix002.wav,30.0,60.0,1,30.0,30.0,0.0
fold3_room21_mix002.wav,30.0,60.0,4,35.8,40.0,4.2
fold3_room21_mix002.wav,60.0,90.0,1,64.1,,
fold3_room21_mix002.wav,90.0,120.0,1,90.0,,
fold3_room21_mix003.wav,0.0,30.0,1,0.8,,
fold3_room21_mix003.wav,0.0,30.0,8,0.0,,
fold3_room21_mix003.wav,30.0,60.0,1,30.1,,
fold3_room21_mix003.wav,30.0,60.0,4,30.1,,
fold3_room21_mix003.wav,30.0,60.0,8,30.0,,
fold3_room21_mix003.wav,60.0,90.0,1,60.0,,
fold3_room21_mix003.wav,60.0,90.0,4,75.4,,
fold3_room21_mix003.wav,60.0,90.0,8,60.0,,
fold3_room21_mix004.wav,0.0,30.0,1,0.7,,
fold3_room21_mix004.wav,0.0,30.0,4,7.5,,
fold3_room21_mix004.wav,0.0,30.0,5,0.0,,
fold3_room21_mix004.wav,0.0,30.0,11,0.0,,
fold3_room21_mix005.wav,0.0,30.0,1,1.1,,
fold3_room21_mix005.wav,30.0,60.0,1,30.3,,
fold3_room21_mix006.wav,0.0,30.0,1,0.0,,
fold3_room21_mix007.wav,0.0,30.0,1,9.7,,
fold3_room21_mix007.wav,0.0,30.0,8,0.0,,
fold3_room21_mix007.wav,30.0,60.0,1,30.0,,
fold3_room21_mix007.wav,30.0,60.0,8,37.4,,
fold3_room21_mix008.wav,0.0,30.0,1,0.2,,
fold3_room21_mix008.wav,30.0,60.0,1,31.0,,
fold3_room21_mix008.wav,60.0,90.0,1,60.0,,
fold3_room21_mix008.wav,90.0,120.0,1,90.0,,
fold3_room21_mix008.wav,90.0,120.0,4,107.3,,
fold3_room21_mix008.wav,120.0,150.0,1,121.6,,
fold3_room21_mix008.wav,120.0,150.0,4,120.0,,
fold3_room21_mix009.wav,0.0,30.0,5,0.0,2.0,2.0
fold3_room21_mix009.wav,0.0,30.0,8,0.0,10.0,10.0
fold3_room21_mix009.wav,0.0,30.0,11,6.5,1.0,-5.5
fold3_room21_mix009.wav,30.0,60.0,5,30.0,,
fold3_room21_mix009.wav,30.0,60.0,8,30.0,,
fold3_room21_mix009.wav,30.0,60.0,11,36.7,,
fold3_room21_mix009.wav,60.0,90.0,5,60.0,,
fold3_room21_mix009.wav,60.0,90.0,8,60.0,,
fold3_room21_mix009.wav,60.0,90.0,11,66.8,,
fold3_room21_mix010.wav,0.0,30.0,1,0.5,,
fold3_room21_mix010.wav,0.0,30.0,5,0.0,,
fold3_room21_mix010.wav,0.0,30.0,8,0.0,,
fold3_room21_mix010.wav,0.0,30.0,11,0.1,,
fold3_room21_mix010.wav,30.0,60.0,5,30.0,,
fold3_room21_mix010.wav,30.0,60.0,8,30.0,,
fold3_room21_mix010.wav,30.0,60.0,11,45.3,,
fold3_room21_mix010.wav,60.0,90.0,5,60.0,60.0,0.0
fold3_room21_mix010.wav,60.0,90.0,8,60.0,60.0,0.0
fold3_room21_mix010.wav,60.0,90.0,11,60.2,,
fold3_room21_mix011.wav,0.0,30.0,5,0.0,,
fold3_room21_mix011.wav,0.0,30.0,8,0.0,,
fold3_room21_mix011.wav,0.0,30.0,11,5.9,,
fold3_room21_mix012.wav,0.0,30.0,1,0.0,,
fold3_room21_mix012.wav,0.0,30.0,4,25.4,,
fold3_room21_mix012.wav,0.0,30.0,8,0.0,,
fold3_room21_mix012.wav,30.0,60.0,1,30.0,,
fold3_room21_mix012.wav,30.0,60.0,4,35.2,,
fold3_room21_mix012.wav,30.0,60.0,8,30.0,,
fold3_room21_mix012.wav,60.0,90.0,1,60.6,,
fold3_room21_mix012.wav,60.0,90.0,4,62.8,,
fold3_room21_mix012.wav,60.0,90.0,8,60.0,,
fold3_room21_mix012.wav,90.0,120.0,1,90.0,,
fold3_room21_mix012.wav,90.0,120.0,8,90.0,,
fold3_room21_mix012.wav,120.0,150.0,1,120.0,,
fold3_room21_mix012.wav,120.0,150.0,4,120.5,,
fold3_room21_mix012.wav,120.0,150.0,8,120.0,,
fold3_room21_mix013.wav,0.0,30.0,1,0.1,,
fold3_room21_mix013.wav,0.0,30.0,4,25.4,,
fold3_room21_mix013.wav,0.0,30.0,8,0.0,,
fold3_room21_mix013.wav,30.0,60.0,1,30.0,30.0,0.0
fold3_room21_mix013.wav,30.0,60.0,8,30.0,30.0,0.0
fold3_room21_mix014.wav,0.0,30.0,1,0.3,0.0,-0.3
fold3_room21_mix014.wav,0.0,30.0,8,0.0,0.0,0.0
fold3_room21_mix014.wav,30.0,60.0,1,30.0,,
fold3_room21_mix014.wav,30.0,60.0,4,39.2,,
fold3_room21_mix014.wav,30.0,60.0,8,30.0,,
fold3_room21_mix015.wav,0.0,30.0,1,0.1,0.0,-0.1
fold3_room21_mix015.wav,0.0,30.0,8,0.0,0.0,0.0
fold3_room21_mix015.wav,30.0,60.0,1,30.0,30.0,0.0
fold3_room21_mix015.wav,30.0,60.0,8,30.0,30.0,0.0
fold3_room21_mix015.wav,60.0,90.0,1,60.0,,
fold3_room21_mix015.wav,60.0,90.0,3,89.4,,
fold3_room21_mix015.wav,60.0,90.0,4,79.4,,
fold3_room21_mix015.wav,60.0,90.0,8,60.0,,
fold3_room21_mix016.wav,0.0,30.0,1,0.0,,
fold3_room21_mix016.wav,30.0,60.0,1,30.0,,
fold3_room21_mix016.wav,30.0,60.0,3,33.5,,
fold3_room21_mix017.wav,0.0,30.0,1,0.3,,
fold3_room21_mix017.wav,0.0,30.0,8,0.0,,
fold3_room21_mix017.wav,30.0,60.0,1,30.0,30.0,0.0
fold3_room21_mix017.wav,30.0,60.0,8,30.0,30.0,0.0
fold3_room21_mix017.wav,60.0,90.0,1,60.0,,
fold3_room21_mix017.wav,60.0,90.0,3,83.3,,
fold3_room21_mix017.wav,60.0,90.0,8,60.0,,
fold3_room21_mix017.wav,90.0,120.0,1,95.7,100.0,4.3
fold3_room21_mix017.wav,90.0,120.0,3,90.0,90.0,0.0
fold3_room21_mix017.wav,90.0,120.0,8,90.0,100.0,10.0
fold3_room21_mix018.wav,0.0,30.0,1,11.4,,
fold3_room21_mix018.wav,0.0,30.0,5,0.0,,
fold3_room21_mix018.wav,0.0,30.0,7,3.6,,
fold3_room21_mix018.wav,0.0,30.0,12,0.8,,
fold3_room21_mix018.wav,30.0,60.0,1,39.1,,
fold3_room21_mix018.wav,30.0,60.0,4,56.1,,
fold3_room21_mix018.wav,30.0,60.0,5,30.0,,
fold3_room21_mix018.wav,60.0,90.0,1,60.0,,
fold3_room21_mix018.wav,60.0,90.0,5,60.0,,
fold3_room21_mix018.wav,90.0,120.0,1,90.0,,
fold3_room21_mix018.wav,90.0,120.0,5,90.0,,
fold3_room21_mix019.wav,0.0,30.0,1,0.8,,
fold3_room21_mix019.wav,0.0,30.0,5,0.0,,
fold3_room21_mix020.wav,0.0,30.0,1,16.1,,
fold3_room21_mix020.wav,0.0,30.0,5,1.1,,
fold3_room21_mix020.wav,0.0,30.0,7,17.7,,
fold3_room21_mix020.wav,0.0,30.0,12,15.2,,
fold3_room21_mix020.wav,30.0,60.0,1,30.0,31.0,1.0
fold3_room21_mix020.wav,30.0,60.0,5,31.8,40.0,8.2
fold3_room21_mix020.wav,60.0,90.0,5,60.0,,
fold3_room21_mix020.wav,90.0,120.0,5,100.0,,
fold3_room21_mix021.wav,0.0,30.0,1,0.3,,
fold3_room21_mix021.wav,0.0,30.0,8,0.0,1.0,1.0
fold3_room21_mix021.wav,30.0,60.0,1,38.9,,
fold3_room21_mix021.wav,30.0,60.0,5,40.6,,
fold3_room21_mix021.wav,30.0,60.0,8,30.0,,
fold3_room21_mix021.wav,60.0,90.0,5,60.0,70.0,10.0
fold3_room21_mix021.wav,60.0,90.0,7,61.6,61.0,-0.6
fold3_room21_mix021.wav,60.0,90.0,8,60.0,62.0,2.0
fold3_room21_mix021.wav,90.0,120.0,5,90.0,91.0,1.0
fold3_room21_mix021.wav,90.0,120.0,7,92.4,91.0,-1.4
fold3_room21_mix021.wav,90.0,120.0,8,90.0,91.0,1.0
fold3_room21_mix022.wav,0.0,30.0,1,0.2,,
fold3_room21_mix022.wav,0.0,30.0,4,19.9,,
fold3_room21_mix022.wav,30.0,60.0,1,30.0,40.0,10.0
fold3_room21_mix022.wav,30.0,60.0,4,32.4,31.0,-1.4
fold3_room21_mix022.wav,60.0,90.0,1,65.4,,
fold3_room21_mix022.wav,60.0,90.0,2,69.2,,
fold3_room21_mix022.wav,60.0,90.0,3,86.7,,
fold3_room21_mix022.wav,90.0,120.0,1,90.0,,
fold3_room21_mix022.wav,90.0,120.0,3,90.0,,
fold3_room21_mix022.wav,120.0,150.0,1,123.2,,
fold3_room21_mix022.wav,120.0,150.0,2,143.9,,
fold3_room21_mix022.wav,120.0,150.0,4,136.5,,
fold3_room21_mix023.wav,0.0,30.0,5,0.6,,
fold3_room21_mix023.wav,30.0,60.0,3,58.2,31.0,-27.2
fold3_room21_mix023.wav,30.0,60.0,5,32.7,31.0,-1.7
fold3_room21_mix023.wav,60.0,90.0,1,64.8,61.0,-3.8
fold3_room21_mix023.wav,60.0,90.0,3,60.0,60.0,0.0
fold3_room21_mix023.wav,60.0,90.0,5,60.0,61.0,1.0
fold3_room21_mix024.wav,0.0,30.0,5,0.5,,
fold3_room21_mix024.wav,30.0,60.0,3,50.4,44.0,-6.4
fold3_room21_mix024.wav,30.0,60.0,5,30.0,44.0,14.0
fold3_room21_mix025.wav,0.0,30.0,1,0.5,,
fold3_room21_mix025.wav,0.0,30.0,5,0.0,,
fold3_room21_mix025.wav,0.0,30.0,8,0.0,,
fold3_room21_mix025.wav,30.0,60.0,1,45.3,31.0,-14.3
fold3_room21_mix025.wav,30.0,60.0,4,52.1,31.0,-21.1
fold3_room21_mix025.wav,30.0,60.0,5,30.0,31.0,1.0
fold3_room21_mix025.wav,30.0,60.0,8,30.0,31.0,1.0
fold3_room21_mix025.wav,60.0,90.0,1,60.0,60.0,0.0
fold3_room21_mix025.wav,60.0,90.0,5,60.0,,
fold3_room21_mix025.wav,60.0,90.0,8,60.0,60.0,0.0
fold3_room21_mix025.wav,90.0,120.0,1,108.4,100.0,-8.4
fold3_room21_mix025.wav,90.0,120.0,5,90.0,100.0,10.0
fold3_room21_mix025.wav,90.0,120.0,8,90.0,90.0,0.0
fold3_room21_mix025.wav,120.0,150.0,1,120.3,,
fold3_room21_mix025.wav,120.0,150.0,5,120.0,,
fold3_room21_mix025.wav,120.0,150.0,8,120.0,,
fold3_room21_mix025.wav,150.0,180.0,1,155.6,,
fold3_room21_mix025.wav,150.0,180.0,4,151.7,,
fold3_room21_mix025.wav,150.0,180.0,5,150.0,,
fold3_room21_mix025.wav,150.0,180.0,8,150.0,,
fold3_room21_mix025.wav,180.0,210.0,1,184.6,,
fold3_room21_mix025.wav,180.0,210.0,4,204.1,,
