file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room4_mix001.wav,0.0,30.0,6,15.9,,
fold3_room4_mix001.wav,0.0,30.0,7,18.4,,
fold3_room4_mix001.wav,0.0,30.0,10,27.4,,
fold3_room4_mix001.wav,30.0,60.0,1,48.4,,
fold3_room4_mix001.wav,30.0,60.0,3,41.4,,
fold3_room4_mix001.wav,30.0,60.0,6,41.4,,
fold3_room4_mix001.wav,30.0,60.0,10,30.0,,
fold3_room4_mix001.wav,60.0,90.0,1,60.0,,
fold3_room4_mix001.wav,90.0,120.0,1,90.0,,
fold3_room4_mix001.wav,90.0,120.0,7,119.4,,
fold3_room4_mix001.wav,90.0,120.0,10,107.4,,
fold3_room4_mix004.wav,30.0,60.0,10,49.4,,
fold3_room4_mix004.wav,60.0,90.0,7,63.0,,
fold3_room4_mix004.wav,90.0,120.0,1,108.0,,
fold3_room4_mix004.wav,90.0,120.0,3,91.9,,
fold3_room4_mix004.wav,120.0,150.0,1,120.4,,
fold3_room4_mix004.wav,120.0,150.0,4,132.2,,
fold3_room4_mix005.wav,0.0,30.0,6,12.9,,
fold3_room4_mix005.wav,0.0,30.0,7,19.9,,
fold3_room4_mix005.wav,30.0,60.0,5,31.4,,
fold3_room4_mix005.wav,60.0,90.0,6,60.4,,
fold3_room4_mix005.wav,60.0,90.0,7,85.9,,
fold3_room4_mix006.wav,0.0,30.0,1,5.4,0.0,-5.4
fold3_room4_mix006.wav,30.0,60.0,1,30.0,,
fold3_room4_mix006.wav,60.0,90.0,1,60.0,,
fold3_room4_mix006.wav,60.0,90.0,4,79.4,,
fold3_room4_mix006.wav,90.0,120.0,1,90.0,,
fold3_room4_mix006.wav,90.0,120.0,4,92.4,,
fold3_room4_mix006.wav,90.0,120.0,5,107.4,,
fold3_room4_mix006.wav,120.0,150.0,1,127.9,,
fold3_room4_mix006.wav,120.0,150.0,5,120.0,,
fold3_room4_mix006.wav,150.0,180.0,1,150.4,,
fold3_room4_mix007.wav,0.0,30.0,1,5.9,,
fold3_room4_mix007.wav,30.0,60.0,1,30.0,,
fold3_room4_mix007.wav,60.0,90.0,1,60.0,,
fold3_room4_mix007.wav,60.0,90.0,4,63.9,,
fold3_room4_mix007.wav,90.0,120.0,1,90.0,,
fold3_room4_mix007.wav,90.0,120.0,10,99.9,,
fold3_room4_mix007.wav,120.0,150.0,1,120.0,120.0,0.0
fold3_room4_mix007.wav,120.0,150.0,4,133.9,130.0,-3.9
fold3_room4_mix007.wav,150.0,180.0,1,150.0,,
fold3_room4_mix007.wav,180.0,210.0,1,180.0,180.0,0.0
fold3_room4_mix007.wav,180.0,210.0,4,180.9,190.0,9.1
fold3_room4_mix008.wav,0.0,30.0,6,11.4,,
fold3_room4_mix008.wav,0.0,30.0,7,17.4,,
fold3_room4_mix008.wav,0.0,30.0,10,22.9,,
fold3_room4_mix008.wav,30.0,60.0,1,45.9,,
fold3_room4_mix008.wav,30.0,60.0,3,30.4,,
fold3_room4_mix008.wav,30.0,60.0,6,31.4,,
fold3_room4_mix008.wav,60.0,90.0,1,60.0,,
fold3_room4_mix008.wav,90.0,120.0,1,90.4,,
fold3_room4_mix008.wav,90.0,120.0,10,118.9,,
fold3_room4_mix008.wav,120.0,150.0,1,120.0,,
fold3_room4_mix008.wav,120.0,150.0,10,120.0,,
fold3_room6_mix001.wav,0.0,30.0,0,0.4,,
fold3_room6_mix001.wav,0.0,30.0,1,4.9,,
fold3_room6_mix001.wav,30.0,60.0,0,40.4,,
fold3_room6_mix001.wav,30.0,60.0,1,30.0,,
fold3_room6_mix001.wav,30.0,60.0,2,53.4,,
fold3_room6_mix001.wav,30.0,60.0,4,36.9,,
fold3_room6_mix001.wav,60.0,90.0,0,61.9,,
fold3_room6_mix001.wav,60.0,90.0,1,60.0,,
fold3_room6_mix001.wav,60.0,90.0,9,61.9,,
fold3_room6_mix001.wav,90.0,120.0,0,93.9,,
fold3_room6_mix001.wav,90.0,120.0,1,91.9,,
fold3_room6_mix001.wav,90.0,120.0,4,95.4,,
fold3_room6_mix001.wav,90.0,120.0,9,90.0,,
fold3_room6_mix001.wav,120.0,150.0,0,126.4,,
