file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,40.0,1,1.1,3.98,2.88
fold3_room21_mix001.wav,0.0,40.0,4,3.7,26.57,22.87
fold3_room21_mix001.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix002.wav,0.0,40.0,1,0.8,3.98,3.18
fold3_room21_mix002.wav,0.0,40.0,4,35.8,26.75,-9.05
fold3_room21_mix002.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix002.wav,40.0,80.0,4,56.4,42.85,-13.55
fold3_room21_mix002.wav,80.0,120.0,1,82.9,83.98,1.08
fold3_room21_mix003.wav,0.0,40.0,1,0.8,2.76,1.96
fold3_room21_mix003.wav,0.0,40.0,4,30.1,3.95,-26.15
fold3_room21_mix003.wav,0.0,40.0,8,0.0,22.76,22.76
fold3_room21_mix003.wav,40.0,80.0,1,40.0,42.63,2.63
fold3_room21_mix003.wav,40.0,80.0,4,75.4,45.97,-29.43
fold3_room21_mix003.wav,40.0,80.0,8,40.0,50.0,10.0
fold3_room21_mix005.wav,0.0,40.0,1,1.1,0.0,-1.1
fold3_room21_mix007.wav,0.0,40.0,1,9.7,3.26,-6.44
fold3_room21_mix007.wav,0.0,40.0,8,0.0,0.0,0.0
fold3_room21_mix008.wav,0.0,40.0,1,0.2,3.98,3.78
fold3_room21_mix008.wav,40.0,80.0,1,40.0,43.98,3.98
fold3_room21_mix008.wav,80.0,120.0,1,80.0,82.98,2.98
fold3_room21_mix008.wav,80.0,120.0,4,107.3,83.65,-23.65
fold3_room21_mix009.wav,0.0,40.0,5,0.0,0.0,0.0
fold3_room21_mix009.wav,0.0,40.0,8,0.0,3.92,3.92
fold3_room21_mix009.wav,0.0,40.0,11,6.5,3.92,-2.58
fold3_room21_mix009.wav,40.0,80.0,5,40.0,42.76,2.76
fold3_room21_mix009.wav,40.0,80.0,8,40.0,42.76,2.76
fold3_room21_mix009.wav,40.0,80.0,11,51.0,79.99000000000001,28.99
fold3_room21_mix010.wav,0.0,40.0,1,0.5,0.63,0.13
fold3_room21_mix010.wav,0.0,40.0,5,0.0,2.97,2.97
fold3_room21_mix010.wav,0.0,40.0,8,0.0,3.29,3.29
fold3_room21_mix010.wav,0.0,40.0,11,0.1,3.93,3.83
fold3_room21_mix010.wav,40.0,80.0,5,40.0,42.96,2.96
fold3_room21_mix010.wav,40.0,80.0,8,40.0,43.79,3.79
fold3_room21_mix010.wav,40.0,80.0,11,45.3,43.79,-1.51
fold3_room21_mix011.wav,0.0,40.0,5,0.0,2.63,2.63
fold3_room21_mix011.wav,0.0,40.0,8,0.0,7.94,7.94
fold3_room21_mix011.wav,0.0,40.0,11,5.9,9.2,3.3
fold3_room21_mix012.wav,0.0,40.0,1,0.0,2.79,2.79
fold3_room21_mix012.wav,0.0,40.0,4,25.4,6.35,-19.05
fold3_room21_mix012.wav,0.0,40.0,8,0.0,10.0,10.0
fold3_room21_mix012.wav,40.0,80.0,1,40.0,43.96,3.96
fold3_room21_mix012.wav,40.0,80.0,4,50.7,45.27,-5.43
fold3_room21_mix012.wav,40.0,80.0,8,40.0,62.8,22.8
fold3_room21_mix012.wav,80.0,120.0,1,80.0,83.26,3.26
fold3_room21_mix012.wav,80.0,120.0,4,83.0,85.97,2.97
fold3_room21_mix012.wav,80.0,120.0,8,80.0,102.78,22.78
fold3_room21_mix013.wav,0.0,40.0,1,0.1,0.29,0.19
fold3_room21_mix013.wav,0.0,40.0,4,25.4,6.73,-18.67
fold3_room21_mix013.wav,0.0,40.0,8,0.0,,
fold3_room21_mix014.wav,0.0,40.0,1,0.3,0.0,-0.3
fold3_room21_mix014.wav,0.0,40.0,4,39.2,2.76,-36.44
fold3_room21_mix014.wav,0.0,40.0,8,0.0,3.59,3.59
fold3_room21_mix015.wav,0.0,40.0,1,0.1,0.0,-0.1
fold3_room21_mix015.wav,0.0,40.0,8,0.0,2.69,2.69
fold3_room21_mix015.wav,40.0,80.0,1,40.0,42.79,2.79
fold3_room21_mix015.wav,40.0,80.0,4,79.4,43.65,-35.75
fold3_room21_mix015.wav,40.0,80.0,8,40.0,,
fold3_room21_mix016.wav,0.0,40.0,1,0.0,2.86,2.86
fold3_room21_mix016.wav,0.0,40.0,3,33.5,29.75,-3.75
fold3_room21_mix017.wav,0.0,40.0,1,0.3,2.63,2.33
fold3_room21_mix017.wav,0.0,40.0,8,0.0,5.97,5.97
fold3_room21_mix017.wav,40.0,80.0,1,40.4,40.0,-0.4
fold3_room21_mix017.wav,40.0,80.0,8,40.0,48.26,8.26
fold3_room21_mix017.wav,80.0,120.0,1,81.0,82.79,1.79
fold3_room21_mix017.wav,80.0,120.0,3,83.3,85.63,2.33
fold3_room21_mix017.wav,80.0,120.0,8,80.0,89.22,9.22
fold3_room21_mix018.wav,0.0,40.0,1,11.4,13.96,2.56
fold3_room21_mix018.wav,0.0,40.0,5,0.0,0.88,0.88
fold3_room21_mix018.wav,0.0,40.0,7,3.6,4.2,0.6
fold3_room21_mix018.wav,0.0,40.0,12,0.8,4.6,3.8
fold3_room21_mix018.wav,40.0,80.0,1,40.0,40.68,0.68
fold3_room21_mix018.wav,40.0,80.0,4,56.1,43.29,-12.81
fold3_room21_mix018.wav,40.0,80.0,5,40.0,,
fold3_room21_mix018.wav,80.0,120.0,1,80.6,83.28,2.68
fold3_room21_mix018.wav,80.0,120.0,5,80.0,89.76,9.76
fold3_room21_mix019.wav,0.0,40.0,1,0.8,3.86,3.06
fold3_room21_mix019.wav,0.0,40.0,5,0.0,2.97,2.97
