file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room4_mix001.wav,0.0,30.0,6,15.9,2.84,-13.06
fold3_room4_mix001.wav,0.0,30.0,7,18.4,5.96,-12.44
fold3_room4_mix001.wav,0.0,30.0,10,27.4,22.8,-4.6
fold3_room4_mix001.wav,30.0,60.0,1,48.4,54.8,6.4
fold3_room4_mix001.wav,30.0,60.0,3,41.4,37.59,-3.81
fold3_room4_mix001.wav,30.0,60.0,6,41.4,30.0,-11.4
fold3_room4_mix001.wav,30.0,60.0,10,30.0,59.9,29.9
fold3_room4_mix001.wav,60.0,90.0,1,60.0,62.86,2.86
fold3_room4_mix001.wav,90.0,120.0,1,90.0,92.86,2.86
fold3_room4_mix001.wav,90.0,120.0,7,119.4,94.95,-24.45
fold3_room4_mix001.wav,90.0,120.0,10,107.4,98.88,-8.52
fold3_room4_mix004.wav,30.0,60.0,10,49.4,32.86,-16.54
fold3_room4_mix004.wav,60.0,90.0,7,63.0,62.86,-0.14
fold3_room4_mix004.wav,90.0,120.0,1,108.0,99.68,-8.32
fold3_room4_mix004.wav,90.0,120.0,3,91.9,99.68,7.78
fold3_room4_mix004.wav,120.0,150.0,1,120.4,122.76,2.36
fold3_room4_mix004.wav,120.0,150.0,4,132.2,125.98,-6.22
fold3_room4_mix005.wav,0.0,30.0,6,12.9,2.84,-10.06
fold3_room4_mix005.wav,0.0,30.0,7,19.9,9.54,-10.36
fold3_room4_mix005.wav,30.0,60.0,5,31.4,,
fold3_room4_mix005.wav,60.0,90.0,6,60.4,62.84,2.44
fold3_room4_mix005.wav,60.0,90.0,7,85.9,65.98,-19.92
fold3_room4_mix006.wav,0.0,30.0,1,5.4,2.86,-2.54
fold3_room4_mix006.wav,30.0,60.0,1,30.0,32.86,2.86
fold3_room4_mix006.wav,60.0,90.0,1,60.0,66.29,6.29
fold3_room4_mix006.wav,60.0,90.0,4,79.4,68.57,-10.83
fold3_room4_mix006.wav,90.0,120.0,1,90.0,92.86,2.86
fold3_room4_mix006.wav,90.0,120.0,4,92.4,94.29,1.89
fold3_room4_mix006.wav,90.0,120.0,5,107.4,97.08,-10.32
fold3_room4_mix006.wav,120.0,150.0,1,127.9,124.26,-3.64
fold3_room4_mix006.wav,120.0,150.0,5,120.0,129.87,9.87
fold3_room4_mix006.wav,150.0,180.0,1,150.4,152.86,2.46
fold3_room4_mix007.wav,0.0,30.0,1,5.9,4.28,-1.62
fold3_room4_mix007.wav,30.0,60.0,1,30.0,30.68,0.68
fold3_room4_mix007.wav,60.0,90.0,1,60.0,62.96,2.96
fold3_room4_mix007.wav,60.0,90.0,4,63.9,65.78,1.88
fold3_room4_mix007.wav,90.0,120.0,1,90.0,92.85,2.85
fold3_room4_mix007.wav,90.0,120.0,10,99.9,90.0,-9.9
fold3_room4_mix007.wav,120.0,150.0,1,120.0,,
fold3_room4_mix007.wav,120.0,150.0,4,133.9,,
fold3_room4_mix007.wav,150.0,180.0,1,150.0,150.0,0.0
fold3_room4_mix007.wav,180.0,210.0,1,180.0,,
fold3_room4_mix007.wav,180.0,210.0,4,180.9,,
fold3_room4_mix008.wav,0.0,30.0,6,11.4,2.84,-8.56
fold3_room4_mix008.wav,0.0,30.0,7,17.4,5.96,-11.44
fold3_room4_mix008.wav,0.0,30.0,10,22.9,10.0,-12.9
fold3_room4_mix008.wav,30.0,60.0,1,45.9,35.8,-10.1
fold3_room4_mix008.wav,30.0,60.0,3,30.4,32.79,2.39
fold3_room4_mix008.wav,30.0,60.0,6,31.4,34.2,2.8
fold3_room4_mix008.wav,60.0,90.0,1,60.0,62.86,2.86
fold3_room4_mix008.wav,90.0,120.0,1,90.4,92.46,2.06
fold3_room4_mix008.wav,90.0,120.0,10,118.9,99.87,-19.03
fold3_room4_mix008.wav,120.0,150.0,1,120.0,122.58,2.58
fold3_room4_mix008.wav,120.0,150.0,10,120.0,120.0,0.0
fold3_room6_mix001.wav,0.0,30.0,0,0.4,0.0,-0.4
fold3_room6_mix001.wav,0.0,30.0,1,4.9,6.89,1.99
