file,win_start,win_end,class,gt_start,pred_start
fold3_room4_mix001.wav,0.0,50.0,3,41.4,0.0
fold3_room4_mix001.wav,0.0,50.0,1,48.4,49.82
fold3_room4_mix001.wav,0.0,50.0,6,15.9,49.82
fold3_room4_mix001.wav,0.0,50.0,7,18.4,49.82
fold3_room4_mix001.wav,50.0,100.0,1,50.4,54.26
fold3_room4_mix004.wav,0.0,50.0,10,49.4,
fold3_room4_mix004.wav,50.0,100.0,3,91.9,54.2
fold3_room4_mix004.wav,50.0,100.0,7,63.0,52.8
fold3_room4_mix004.wav,50.0,100.0,10,50.0,50.6
fold3_room4_mix004.wav,100.0,150.0,1,108.0,102.98
fold3_room4_mix004.wav,100.0,150.0,3,100.0,100.67
fold3_room4_mix004.wav,100.0,150.0,4,132.2,105.28
fold3_room4_mix005.wav,0.0,50.0,5,31.4,0.2
fold3_room4_mix005.wav,0.0,50.0,6,12.9,0.84
fold3_room4_mix005.wav,0.0,50.0,7,19.9,3.9
fold3_room4_mix005.wav,50.0,100.0,5,50.0,50.28
fold3_room4_mix005.wav,50.0,100.0,6,60.4,50.49
fold3_room4_mix005.wav,50.0,100.0,7,85.9,53.88
fold3_room4_mix006.wav,0.0,50.0,1,5.4,4.26
fold3_room4_mix006.wav,50.0,100.0,1,50.0,52.79
fold3_room4_mix006.wav,50.0,100.0,4,79.4,53.68
fold3_room4_mix006.wav,100.0,150.0,1,101.4,103.26
fold3_room4_mix006.wav,100.0,150.0,5,107.4,104.98
fold3_room4_mix007.wav,0.0,50.0,1,5.9,4.36
fold3_room4_mix007.wav,50.0,100.0,1,50.0,53.26
fold3_room4_mix007.wav,50.0,100.0,4,63.9,57.09
fold3_room4_mix007.wav,50.0,100.0,10,99.9,98.0
fold3_room4_mix007.wav,100.0,150.0,1,104.9,103.98
fold3_room4_mix007.wav,100.0,150.0,4,133.9,106.27
fold3_room4_mix007.wav,100.0,150.0,10,100.0,109.58
fold3_room4_mix007.wav,150.0,200.0,1,150.0,153.96
fold3_room4_mix007.wav,150.0,200.0,4,180.9,158.28
fold3_room4_mix008.wav,0.0,50.0,3,30.4,0.0
fold3_room4_mix008.wav,0.0,50.0,7,17.4,18.0
fold3_room4_mix008.wav,0.0,50.0,1,45.9,42.0
fold3_room4_mix008.wav,0.0,50.0,6,11.4,9.0
fold3_room4_mix008.wav,50.0,100.0,1,50.0,54.28
fold3_room4_mix008.wav,100.0,150.0,1,100.0,100.0
fold3_room4_mix008.wav,100.0,150.0,10,118.9,149.72
fold3_room6_mix001.wav,0.0,50.0,0,0.4,0.0
fold3_room6_mix001.wav,0.0,50.0,1,4.9,6.39
fold3_room6_mix001.wav,0.0,50.0,4,36.9,
fold3_room6_mix001.wav,50.0,100.0,1,50.0,
fold3_room6_mix001.wav,50.0,100.0,0,50.0,50.0
fold3_room6_mix001.wav,50.0,100.0,2,53.4,54.36
fold3_room6_mix001.wav,50.0,100.0,9,61.9,57.82
fold3_room6_mix001.wav,100.0,150.0,0,100.4,100.86
fold3_room6_mix001.wav,100.0,150.0,1,100.0,102.74
fold3_room6_mix001.wav,100.0,150.0,9,106.9,
fold3_room6_mix001.wav,150.0,200.0,0,150.9,152.78
fold3_room6_mix001.wav,150.0,200.0,1,150.0,156.43
fold3_room6_mix001.wav,150.0,200.0,9,160.4,
fold3_room6_mix002.wav,0.0,50.0,0,0.4,0.0
fold3_room6_mix002.wav,0.0,50.0,1,0.9,6.0
fold3_room6_mix002.wav,50.0,100.0,0,52.9,50.68
fold3_room6_mix002.wav,50.0,100.0,1,50.0,57.42
fold3_room6_mix002.wav,50.0,100.0,9,76.9,
fold3_room6_mix002.wav,100.0,150.0,0,118.9,103.27
fold3_room6_mix002.wav,100.0,150.0,1,117.9,106.89
fold3_room6_mix002.wav,100.0,150.0,4,125.4,109.46000000000001
fold3_room6_mix002.wav,100.0,150.0,9,100.0,
fold3_room6_mix002.wav,150.0,200.0,9,164.9,153.25
fold3_room6_mix002.wav,150.0,200.0,4,191.9,152.78
fold3_room6_mix002.wav,150.0,200.0,6,151.4,150.0
fold3_room6_mix002.wav,150.0,200.0,0,150.0,150.83
fold3_room6_mix002.wav,200.0,250.0,0,200.0,202.68
fold3_room6_mix002.wav,200.0,250.0,1,200.0,207.32
fold3_room6_mix002.wav,200.0,250.0,4,247.4,
fold3_room6_mix002.wav,200.0,250.0,9,210.9,
fold3_room6_mix003.wav,0.0,50.0,0,5.9,2.68
fold3_room6_mix003.wav,0.0,50.0,1,2.9,7.39
fold3_room6_mix003.wav,0.0,50.0,4,37.4,
fold3_room6_mix003.wav,50.0,100.0,0,50.4,53.98
fold3_room6_mix003.wav,50.0,100.0,1,50.0,56.269999999999996
fold3_room6_mix003.wav,50.0,100.0,4,89.9,
fold3_room6_mix003.wav,100.0,150.0,0,100.0,100.0
fold3_room6_mix003.wav,100.0,150.0,1,101.4,104.96
fold3_room6_mix003.wav,150.0,200.0,0,167.4,154.86
fold3_room6_mix003.wav,150.0,200.0,1,150.0,173.9
fold3_room6_mix003.wav,200.0,250.0,0,209.9,204.28
fold3_room6_mix003.wav,200.0,250.0,1,200.0,207.96
fold3_room6_mix003.wav,200.0,250.0,3,225.9,203.28
fold3_room6_mix003.wav,200.0,250.0,6,237.9,209.64
fold3_room6_mix003.wav,250.0,300.0,0,250.0,250.0
fold3_room6_mix003.wav,250.0,300.0,1,289.4,252.89
fold3_room6_mix003.wav,250.0,300.0,6,257.9,254.37
fold3_room6_mix004.wav,0.0,50.0,0,4.9,3.98
fold3_room6_mix004.wav,0.0,50.0,1,6.9,6.24
fold3_room6_mix004.wav,50.0,100.0,0,50.0,50.0
fold3_room6_mix004.wav,50.0,100.0,1,53.9,53.98
fold3_room6_mix004.wav,100.0,150.0,0,100.0,102.78
fold3_room6_mix004.wav,100.0,150.0,1,104.9,106.34
fold3_room6_mix004.wav,150.0,200.0,0,150.0,150.84
fold3_room6_mix004.wav,150.0,200.0,1,154.4,156.29
fold3_room6_mix004.wav,200.0,250.0,0,200.0,202.68
fold3_room6_mix004.wav,200.0,250.0,1,211.9,207.49
fold3_room6_mix004.wav,200.0,250.0,3,241.4,202.68
fold3_room6_mix005.wav,0.0,50.0,0,18.9,4.28
fold3_room6_mix005.wav,0.0,50.0,1,6.4,9.67
fold3_room6_mix005.wav,50.0,100.0,0,51.4,50.38
fold3_room6_mix005.wav,50.0,100.0,1,50.0,56.24
fold3_room6_mix005.wav,50.0,100.0,9,89.9,55.79
fold3_room6_mix005.wav,100.0,150.0,9,100.0,104.38
fold3_room6_mix005.wav,150.0,200.0,0,153.4,153.86
fold3_room6_mix005.wav,150.0,200.0,1,154.9,157.28
fold3_room6_mix005.wav,150.0,200.0,4,156.9,159.59
fold3_room6_mix005.wav,150.0,200.0,9,150.0,
fold3_room6_mix005.wav,200.0,250.0,0,208.9,223.868
fold3_room6_mix005.wav,200.0,250.0,1,212.4,227.468
fold3_room6_mix005.wav,200.0,250.0,9,200.0,
fold3_room6_mix006.wav,0.0,50.0,0,6.4,3.27
fold3_room6_mix006.wav,0.0,50.0,1,3.9,9.84
fold3_room6_mix006.wav,0.0,50.0,6,7.4,
fold3_room6_mix006.wav,50.0,100.0,0,50.0,52.84
fold3_room6_mix006.wav,50.0,100.0,1,57.9,55.39
fold3_room6_mix006.wav,50.0,100.0,6,50.0,
fold3_room6_mix006.wav,50.0,100.0,7,89.9,
fold3_room6_mix007.wav,0.0,50.0,1,6.4,4.26
fold3_room6_mix007.wav,50.0,100.0,1,51.4,53.96
fold3_room6_mix007.wav,50.0,100.0,5,53.9,54.269999999999996
fold3_room6_mix007.wav,50.0,100.0,8,98.4,72.78
fold3_room6_mix007.wav,100.0,150.0,5,100.0,100.0
fold3_room6_mix007.wav,100.0,150.0,8,100.0,103.42
fold3_room6_mix007.wav,150.0,200.0,1,165.9,154.26
fold3_room6_mix007.wav,150.0,200.0,8,150.0,153.79
fold3_room7_mix001.wav,0.0,50.0,1,4.4,3.84
fold3_room7_mix001.wav,50.0,100.0,1,50.0,50.0
fold3_room7_mix001.wav,50.0,100.0,3,92.9,
fold3_room7_mix001.wav,50.0,100.0,4,64.9,56.82
fold3_room7_mix001.wav,100.0,150.0,1,100.0,103.98
fold3_room7_mix001.wav,100.0,150.0,6,137.4,100.42
fold3_room7_mix001.wav,100.0,150.0,7,142.4,104.38
fold3_room7_mix002.wav,0.0,50.0,1,3.4,3.98
fold3_room7_mix002.wav,0.0,50.0,4,21.9,6.28
fold3_room7_mix002.wav,50.0,100.0,1,50.0,50.38
