file,win_start,win_end,class,gt_start,pred_start
fold3_room21_mix001.wav,0.0,30.0,1,1.1,0.29
fold3_room21_mix001.wav,0.0,30.0,4,3.7,0.5
fold3_room21_mix001.wav,30.0,60.0,1,30.0,31.9
fold3_room21_mix001.wav,30.0,60.0,4,36.3,
fold3_room21_mix002.wav,0.0,30.0,1,0.8,1.3
fold3_room21_mix002.wav,30.0,60.0,1,30.0,31.94
fold3_room21_mix002.wav,30.0,60.0,4,35.8,41.8
fold3_room21_mix002.wav,60.0,90.0,1,64.1,61.9
fold3_room21_mix002.wav,90.0,120.0,1,90.0,91.4
fold3_room21_mix003.wav,0.0,30.0,1,0.8,14.63
fold3_room21_mix003.wav,0.0,30.0,8,0.0,
fold3_room21_mix003.wav,30.0,60.0,1,30.1,30.0
fold3_room21_mix003.wav,30.0,60.0,4,30.1,
fold3_room21_mix003.wav,30.0,60.0,8,30.0,32.0
fold3_room21_mix003.wav,60.0,90.0,1,60.0,70.0
fold3_room21_mix003.wav,60.0,90.0,4,75.4,
fold3_room21_mix003.wav,60.0,90.0,8,60.0,
fold3_room21_mix004.wav,0.0,30.0,1,0.7,14.999999999999998
fold3_room21_mix004.wav,0.0,30.0,4,7.5,23.999999999999996
fold3_room21_mix004.wav,0.0,30.0,5,0.0,
fold3_room21_mix004.wav,0.0,30.0,11,0.0,
fold3_room21_mix005.wav,0.0,30.0,1,1.1,0.2
fold3_room21_mix005.wav,30.0,60.0,1,30.3,30.0
fold3_room21_mix006.wav,0.0,30.0,1,0.0,0.0
fold3_room21_mix007.wav,0.0,30.0,1,9.7,11.29
fold3_room21_mix007.wav,0.0,30.0,8,0.0,1.0
fold3_room21_mix007.wav,30.0,60.0,1,30.0,30.0
fold3_room21_mix007.wav,30.0,60.0,8,37.4,41.0
fold3_room21_mix008.wav,0.0,30.0,1,0.2,15.7
fold3_room21_mix008.wav,30.0,60.0,1,31.0,31.4
fold3_room21_mix008.wav,60.0,90.0,1,60.0,60.0
fold3_room21_mix008.wav,90.0,120.0,1,90.0,91.2
fold3_room21_mix008.wav,90.0,120.0,4,107.3,
fold3_room21_mix008.wav,120.0,150.0,1,121.6,121.833
fold3_room21_mix008.wav,120.0,150.0,4,120.0,
fold3_room21_mix009.wav,0.0,30.0,5,0.0,1.5
fold3_room21_mix009.wav,0.0,30.0,8,0.0,12.5
fold3_room21_mix009.wav,0.0,30.0,11,6.5,27.5
fold3_room21_mix009.wav,30.0,60.0,5,30.0,42.0
fold3_room21_mix009.wav,30.0,60.0,8,30.0,
fold3_room21_mix009.wav,30.0,60.0,11,36.7,56.0
fold3_room21_mix009.wav,60.0,90.0,5,60.0,61.0
fold3_room21_mix009.wav,60.0,90.0,8,60.0,62.0
fold3_room21_mix009.wav,60.0,90.0,11,66.8,78.0
fold3_room21_mix010.wav,0.0,30.0,1,0.5,1.0
fold3_room21_mix010.wav,0.0,30.0,5,0.0,2.0
fold3_room21_mix010.wav,0.0,30.0,8,0.0,
fold3_room21_mix010.wav,0.0,30.0,11,0.1,
fold3_room21_mix010.wav,30.0,60.0,5,30.0,31.9
fold3_room21_mix010.wav,30.0,60.0,8,30.0,
fold3_room21_mix010.wav,30.0,60.0,11,45.3,32.5
fold3_room21_mix010.wav,60.0,90.0,5,60.0,61.5
fold3_room21_mix010.wav,60.0,90.0,8,60.0,62.5
fold3_room21_mix010.wav,60.0,90.0,11,60.2,89.5
fold3_room21_mix011.wav,0.0,30.0,5,0.0,1.0
fold3_room21_mix011.wav,0.0,30.0,8,0.0,18.0
fold3_room21_mix011.wav,0.0,30.0,11,5.9,29.0
fold3_room21_mix012.wav,0.0,30.0,1,0.0,1.0
fold3_room21_mix012.wav,0.0,30.0,4,25.4,13.0
fold3_room21_mix012.wav,0.0,30.0,8,0.0,
fold3_room21_mix012.wav,30.0,60.0,1,30.0,43.9
fold3_room21_mix012.wav,30.0,60.0,4,35.2,50.9
fold3_room21_mix012.wav,30.0,60.0,8,30.0,
fold3_room21_mix012.wav,60.0,90.0,1,60.6,61.0
fold3_room21_mix012.wav,60.0,90.0,4,62.8,72.0
fold3_room21_mix012.wav,60.0,90.0,8,60.0,
fold3_room21_mix012.wav,90.0,120.0,1,90.0,107.15
fold3_room21_mix012.wav,90.0,120.0,8,90.0,114.7
fold3_room21_mix012.wav,120.0,150.0,1,120.0,120.0
fold3_room21_mix012.wav,120.0,150.0,4,120.5,122.0
fold3_room21_mix012.wav,120.0,150.0,8,120.0,
fold3_room21_mix013.wav,0.0,30.0,1,0.1,1.72
fold3_room21_mix013.wav,0.0,30.0,4,25.4,10.28
fold3_room21_mix013.wav,0.0,30.0,8,0.0,
fold3_room21_mix013.wav,30.0,60.0,1,30.0,31.75
fold3_room21_mix013.wav,30.0,60.0,8,30.0,42.9
fold3_room21_mix014.wav,0.0,30.0,1,0.3,0.11
fold3_room21_mix014.wav,0.0,30.0,8,0.0,0.29
fold3_room21_mix014.wav,30.0,60.0,1,30.0,40.83
fold3_room21_mix014.wav,30.0,60.0,4,39.2,45.22
fold3_room21_mix014.wav,30.0,60.0,8,30.0,
fold3_room21_mix015.wav,0.0,30.0,1,0.1,0.13
fold3_room21_mix015.wav,0.0,30.0,8,0.0,0.17
fold3_room21_mix015.wav,30.0,60.0,1,30.0,41.46
fold3_room21_mix015.wav,30.0,60.0,8,30.0,45.5
fold3_room21_mix015.wav,60.0,90.0,1,60.0,74.5
fold3_room21_mix015.wav,60.0,90.0,3,89.4,
fold3_room21_mix015.wav,60.0,90.0,4,79.4,
fold3_room21_mix015.wav,60.0,90.0,8,60.0,89.0
fold3_room21_mix016.wav,0.0,30.0,1,0.0,1.7
fold3_room21_mix016.wav,30.0,60.0,1,30.0,31.47
fold3_room21_mix016.wav,30.0,60.0,3,33.5,41.9
fold3_room21_mix017.wav,0.0,30.0,1,0.3,
