file,win_start,win_end,class,gt_start,pred_start
fold3_room4_mix001.wav,0.0,20.0,6,15.9,
fold3_room4_mix001.wav,0.0,20.0,7,18.4,
fold3_room4_mix001.wav,20.0,40.0,7,24.4,30.9
fold3_room4_mix001.wav,20.0,40.0,10,27.4,32.3
fold3_room4_mix001.wav,40.0,60.0,1,48.4,
fold3_room4_mix001.wav,40.0,60.0,3,41.4,55.8
fold3_room4_mix001.wav,40.0,60.0,6,41.4,59.5
fold3_room4_mix001.wav,60.0,80.0,1,60.0,
fold3_room4_mix001.wav,80.0,100.0,1,80.0,
fold3_room4_mix001.wav,100.0,120.0,1,100.0,110.0
fold3_room4_mix001.wav,100.0,120.0,7,119.4,112.0
fold3_room4_mix001.wav,100.0,120.0,10,107.4,
fold3_room4_mix004.wav,40.0,60.0,10,49.4,
fold3_room4_mix004.wav,60.0,80.0,7,63.0,70.0
fold3_room4_mix004.wav,80.0,100.0,3,91.9,
fold3_room4_mix004.wav,100.0,120.0,1,108.0,100.0
fold3_room4_mix004.wav,100.0,120.0,3,100.0,
fold3_room4_mix004.wav,120.0,140.0,1,120.4,120.0
fold3_room4_mix004.wav,120.0,140.0,4,132.2,121.9
fold3_room4_mix005.wav,0.0,20.0,6,12.9,1.75
fold3_room4_mix005.wav,0.0,20.0,7,19.9,12.0
fold3_room4_mix005.wav,20.0,40.0,5,31.4,
fold3_room4_mix005.wav,20.0,40.0,7,20.0,30.0
fold3_room4_mix005.wav,40.0,60.0,5,40.0,
fold3_room4_mix005.wav,60.0,80.0,6,60.4,
fold3_room4_mix005.wav,80.0,100.0,6,80.0,91.45
fold3_room4_mix005.wav,80.0,100.0,7,85.9,98.4
fold3_room4_mix006.wav,0.0,20.0,1,5.4,1.7
fold3_room4_mix006.wav,20.0,40.0,1,20.0,21.9
fold3_room4_mix006.wav,40.0,60.0,1,40.0,41.6
fold3_room4_mix006.wav,60.0,80.0,1,60.0,60.15
fold3_room4_mix006.wav,60.0,80.0,4,79.4,
fold3_room4_mix006.wav,80.0,100.0,1,80.0,80.0
fold3_room4_mix006.wav,80.0,100.0,4,92.4,81.0
fold3_room4_mix006.wav,100.0,120.0,1,101.4,101.4
fold3_room4_mix006.wav,100.0,120.0,5,107.4,
fold3_room4_mix006.wav,120.0,140.0,1,127.9,128.0
fold3_room4_mix006.wav,120.0,140.0,5,120.0,
fold3_room4_mix006.wav,140.0,160.0,1,140.0,141.9
fold3_room4_mix006.wav,160.0,180.0,1,160.0,160.0
fold3_room4_mix007.wav,0.0,20.0,1,5.9,0.0
fold3_room4_mix007.wav,20.0,40.0,1,20.0,20.4
fold3_room4_mix007.wav,40.0,60.0,1,40.0,40.2
fold3_room4_mix007.wav,60.0,80.0,1,60.0,61.95
fold3_room4_mix007.wav,60.0,80.0,4,63.9,
fold3_room4_mix007.wav,80.0,100.0,1,80.0,80.0
fold3_room4_mix007.wav,80.0,100.0,10,99.9,
fold3_room4_mix007.wav,100.0,120.0,1,104.9,101.87
fold3_room4_mix007.wav,100.0,120.0,10,100.0,
fold3_room4_mix007.wav,120.0,140.0,1,120.0,121.0
fold3_room4_mix007.wav,120.0,140.0,4,133.9,
fold3_room4_mix007.wav,140.0,160.0,1,140.0,140.0
fold3_room4_mix007.wav,160.0,180.0,1,161.4,161.5
fold3_room4_mix007.wav,180.0,200.0,1,180.0,180.1
fold3_room4_mix007.wav,180.0,200.0,4,180.9,
fold3_room4_mix007.wav,200.0,220.0,1,200.0,200.0
fold3_room4_mix008.wav,0.0,20.0,6,11.4,11.6
fold3_room4_mix008.wav,0.0,20.0,7,17.4,
fold3_room4_mix008.wav,20.0,40.0,3,30.4,34.65
fold3_room4_mix008.wav,20.0,40.0,6,31.4,37.5
fold3_room4_mix008.wav,20.0,40.0,10,22.9,38.7
fold3_room4_mix008.wav,40.0,60.0,1,45.9,41.0
fold3_room4_mix008.wav,60.0,80.0,1,60.0,61.8
fold3_room4_mix008.wav,80.0,100.0,1,80.0,81.9
