file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,60.0,1,1.1,0.45,-0.65
fold3_room21_mix001.wav,0.0,60.0,4,3.7,1.4,-2.3
fold3_room21_mix002.wav,0.0,60.0,1,0.8,0.0,-0.8
fold3_room21_mix002.wav,0.0,60.0,4,35.8,12.0,-23.8
fold3_room21_mix002.wav,60.0,120.0,1,64.1,62.3,-1.8
fold3_room21_mix003.wav,0.0,60.0,1,0.8,2.53,1.73
fold3_room21_mix003.wav,0.0,60.0,4,30.1,,
fold3_room21_mix003.wav,0.0,60.0,8,0.0,18.4,18.4
fold3_room21_mix005.wav,0.0,60.0,1,1.1,0.28,-0.82
fold3_room21_mix007.wav,0.0,60.0,1,9.7,1.783,-7.92
fold3_room21_mix007.wav,0.0,60.0,8,0.0,9.37,9.37
fold3_room21_mix008.wav,0.0,60.0,1,0.2,0.0,-0.2
fold3_room21_mix008.wav,60.0,120.0,1,60.0,60.0,0.0
fold3_room21_mix008.wav,60.0,120.0,4,107.3,75.0,-32.3
fold3_room21_mix009.wav,0.0,60.0,5,0.0,1.0,1.0
fold3_room21_mix009.wav,0.0,60.0,8,0.0,2.0,2.0
fold3_room21_mix009.wav,0.0,60.0,11,6.5,3.0,-3.5
fold3_room21_mix010.wav,0.0,60.0,1,0.5,2.5,2.0
fold3_room21_mix010.wav,0.0,60.0,5,0.0,11.5,11.5
fold3_room21_mix010.wav,0.0,60.0,8,0.0,43.5,43.5
fold3_room21_mix010.wav,0.0,60.0,11,0.1,,
fold3_room21_mix012.wav,0.0,60.0,1,0.0,0.0,0.0
fold3_room21_mix012.wav,0.0,60.0,4,25.4,12.0,-13.4
fold3_room21_mix012.wav,0.0,60.0,8,0.0,,
fold3_room21_mix012.wav,60.0,120.0,1,60.6,61.637,1.04
fold3_room21_mix012.wav,60.0,120.0,4,62.8,70.78999999999999,7.99
fold3_room21_mix012.wav,60.0,120.0,8,60.0,,
fold3_room21_mix013.wav,0.0,60.0,1,0.1,1.95,1.85
fold3_room21_mix013.wav,0.0,60.0,4,25.4,13.5,-11.9
fold3_room21_mix013.wav,0.0,60.0,8,0.0,,
fold3_room21_mix014.wav,0.0,60.0,1,0.3,1.19,0.89
fold3_room21_mix014.wav,0.0,60.0,4,39.2,24.45,-14.75
fold3_room21_mix014.wav,0.0,60.0,8,0.0,,
fold3_room21_mix015.wav,0.0,60.0,1,0.1,1.28,1.18
fold3_room21_mix015.wav,0.0,60.0,8,0.0,13.74,13.74
fold3_room21_mix016.wav,0.0,60.0,1,0.0,1.03,1.03
fold3_room21_mix016.wav,0.0,60.0,3,33.5,15.7,-17.8
fold3_room21_mix017.wav,0.0,60.0,1,0.3,,
fold3_room21_mix017.wav,0.0,60.0,8,0.0,1.78,1.78
fold3_room21_mix017.wav,60.0,120.0,1,60.0,70.0,10.0
fold3_room21_mix017.wav,60.0,120.0,3,83.3,,
fold3_room21_mix017.wav,60.0,120.0,8,60.0,78.0,18.0
fold3_room21_mix018.wav,0.0,60.0,1,11.4,1.792,-9.61
fold3_room21_mix018.wav,0.0,60.0,5,0.0,,
fold3_room21_mix018.wav,0.0,60.0,4,56.1,13.784,-42.32
fold3_room21_mix018.wav,0.0,60.0,12,0.8,29.72,28.92
fold3_room21_mix018.wav,60.0,120.0,1,60.0,61.59,1.59
fold3_room21_mix018.wav,60.0,120.0,5,60.0,,
fold3_room21_mix020.wav,0.0,60.0,1,16.1,,
fold3_room21_mix020.wav,0.0,60.0,5,1.1,,
fold3_room21_mix020.wav,0.0,60.0,7,17.7,0.12,-17.58
