file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room4_mix001.wav,0.0,90.0,3,41.4,,
fold3_room4_mix001.wav,0.0,90.0,6,15.9,47.8,31.9
fold3_room4_mix001.wav,0.0,90.0,10,27.4,80.3,52.9
fold3_room4_mix001.wav,0.0,90.0,1,48.4,12.3,-36.1
fold3_room4_mix004.wav,0.0,90.0,7,63.0,22.7,-40.3
fold3_room4_mix004.wav,0.0,90.0,10,49.4,58.5,9.1
fold3_room4_mix005.wav,0.0,90.0,5,31.4,29.2,-2.2
fold3_room4_mix005.wav,0.0,90.0,6,12.9,41.5,28.6
fold3_room4_mix005.wav,0.0,90.0,7,19.9,57.8,37.9
fold3_room4_mix006.wav,0.0,90.0,1,5.4,0.0,-5.4
fold3_room4_mix006.wav,0.0,90.0,4,79.4,15.0,-64.4
fold3_room4_mix006.wav,90.0,180.0,1,90.0,90.15,0.15
fold3_room4_mix006.wav,90.0,180.0,4,92.4,90.35,-2.05
fold3_room4_mix006.wav,90.0,180.0,5,107.4,,
fold3_room4_mix007.wav,0.0,90.0,1,5.9,0.0,-5.9
fold3_room4_mix007.wav,0.0,90.0,4,63.9,11.5,-52.4
fold3_room4_mix007.wav,90.0,180.0,1,90.0,90.0,0.0
fold3_room4_mix007.wav,90.0,180.0,4,133.9,92.6,-41.3
fold3_room4_mix007.wav,90.0,180.0,10,99.9,,
fold3_room4_mix008.wav,0.0,90.0,6,11.4,40.38,28.98
fold3_room4_mix008.wav,0.0,90.0,7,17.4,43.98,26.58
fold3_room4_mix008.wav,0.0,90.0,10,22.9,,
fold3_room4_mix008.wav,0.0,90.0,1,45.9,,
fold3_room6_mix001.wav,0.0,90.0,0,0.4,0.34,-0.06
fold3_room6_mix001.wav,0.0,90.0,4,36.9,,
fold3_room6_mix001.wav,0.0,90.0,9,61.9,1.98,-59.92
fold3_room6_mix001.wav,0.0,90.0,1,4.9,,
fold3_room6_mix001.wav,90.0,180.0,0,93.9,92.417,-1.48
fold3_room6_mix001.wav,90.0,180.0,1,91.9,,
fold3_room6_mix001.wav,90.0,180.0,4,95.4,,
fold3_room6_mix001.wav,90.0,180.0,9,90.0,124.333,34.33
fold3_room6_mix002.wav,0.0,90.0,0,0.4,,
fold3_room6_mix002.wav,0.0,90.0,1,0.9,,
fold3_room6_mix002.wav,0.0,90.0,9,76.9,10.7,-66.2
fold3_room6_mix002.wav,90.0,180.0,1,117.9,92.79,-25.11
fold3_room6_mix002.wav,90.0,180.0,9,90.0,118.97,28.97
fold3_room6_mix002.wav,90.0,180.0,6,151.4,,
fold3_room6_mix002.wav,90.0,180.0,4,125.4,,
fold3_room6_mix003.wav,0.0,90.0,0,5.9,,
fold3_room6_mix003.wav,0.0,90.0,1,2.9,3.08,0.18
fold3_room6_mix003.wav,0.0,90.0,4,37.4,14.7,-22.7
fold3_room6_mix003.wav,90.0,180.0,0,91.4,90.0,-1.4
fold3_room6_mix003.wav,90.0,180.0,1,90.0,,
fold3_room6_mix003.wav,90.0,180.0,4,90.0,100.5,10.5
fold3_room6_mix003.wav,180.0,270.0,0,183.4,180.0,-3.4
fold3_room6_mix003.wav,180.0,270.0,1,180.0,,
fold3_room6_mix003.wav,180.0,270.0,3,225.9,181.0,-44.9
fold3_room6_mix003.wav,180.0,270.0,6,237.9,,
fold3_room6_mix004.wav,0.0,90.0,0,4.9,1.88,-3.02
fold3_room6_mix004.wav,0.0,90.0,1,6.9,11.15,4.25
fold3_room6_mix004.wav,90.0,180.0,0,90.4,90.0,-0.4
fold3_room6_mix004.wav,90.0,180.0,1,90.0,102.0,12.0
fold3_room6_mix004.wav,180.0,270.0,0,180.0,180.0,0.0
fold3_room6_mix004.wav,180.0,270.0,1,183.4,,
fold3_room6_mix004.wav,180.0,270.0,3,241.4,181.0,-60.4
fold3_room6_mix004.wav,180.0,270.0,6,250.9,,
fold3_room6_mix005.wav,0.0,90.0,0,18.9,12.98,-5.92
fold3_room6_mix005.wav,0.0,90.0,1,6.4,,
fold3_room6_mix005.wav,0.0,90.0,9,89.9,43.74,-46.16
fold3_room6_mix005.wav,90.0,180.0,0,153.4,123.29,-30.11
