file,win_start,win_end,class,gt_start,pred_start,diff
fold3_room21_mix001.wav,0.0,40.0,1,1.1,1.04,-0.06
fold3_room21_mix001.wav,0.0,40.0,4,3.7,3.76,0.06
fold3_room21_mix001.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix002.wav,0.0,40.0,1,0.8,0.0,-0.8
fold3_room21_mix002.wav,0.0,40.0,4,35.8,,
fold3_room21_mix002.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix002.wav,40.0,80.0,4,56.4,56.56,0.16
fold3_room21_mix002.wav,80.0,120.0,1,82.9,82.92,0.02
fold3_room21_mix003.wav,0.0,40.0,1,0.8,0.96,0.16
fold3_room21_mix003.wav,0.0,40.0,4,30.1,30.2,0.1
fold3_room21_mix003.wav,0.0,40.0,8,0.0,0.0,0.0
fold3_room21_mix003.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix003.wav,40.0,80.0,4,75.4,75.52000000000001,0.12
fold3_room21_mix003.wav,40.0,80.0,8,40.0,40.0,0.0
fold3_room21_mix005.wav,0.0,40.0,1,1.1,1.08,-0.02
fold3_room21_mix007.wav,0.0,40.0,1,9.7,10.0,0.3
fold3_room21_mix007.wav,0.0,40.0,8,0.0,0.0,0.0
fold3_room21_mix008.wav,0.0,40.0,1,0.2,0.2,0.0
fold3_room21_mix008.wav,40.0,80.0,1,40.0,40.0,0.0
fold3_room21_mix008.wav,80.0,120.0,1,80.0,80.0,0.0
fold3_room21_mix008.wav,80.0,120.0,4,107.3,,
fold3_room21_mix009.wav,0.0,40.0,5,0.0,,
fold3_room21_mix009.wav,0.0,40.0,8,0.0,0.0,0.0
fold3_room21_mix009.wav,0.0,40.0,11,6.5,,
fold3_room21_mix009.wav,40.0,80.0,5,40.0,,
fold3_room21_mix009.wav,40.0,80.0,8,40.0,40.0,0.0
fold3_room21_mix009.wav,40.0,80.0,11,51.0,,
fold3_room21_mix010.wav,0.0,40.0,1,0.5,0.64,0.14
fold3_room21_mix010.wav,0.0,40.0,5,0.0,,
fold3_room21_mix010.wav,0.0,40.0,8,0.0,0.0,0.0
fold3_room21_mix010.wav,0.0,40.0,11,0.1,,
fold3_room21_mix010.wav,40.0,80.0,5,40.0,,
