file,win_start,win_end,class,gt_start,pred_start
fold3_room4_mix001.wav,10.0,20.0,6,15.9,11.5
fold3_room4_mix001.wav,10.0,20.0,7,18.4,12.3
fold3_room4_mix001.wav,20.0,30.0,7,24.4,20.8
fold3_room4_mix001.wav,20.0,30.0,10,27.4,21.2
fold3_room4_mix001.wav,30.0,40.0,10,30.0,30.7
fold3_room4_mix001.wav,40.0,50.0,1,48.4,40.0
fold3_room4_mix001.wav,40.0,50.0,3,41.4,40.0
fold3_room4_mix001.wav,40.0,50.0,6,41.4,40.0
fold3_room4_mix001.wav,50.0,60.0,1,50.4,
fold3_room4_mix001.wav,60.0,70.0,1,60.0,
fold3_room4_mix001.wav,70.0,80.0,1,70.0,
fold3_room4_mix001.wav,80.0,90.0,1,80.0,
fold3_room4_mix001.wav,90.0,100.0,1,90.0,
fold3_room4_mix001.wav,100.0,110.0,1,100.0,100.0
fold3_room4_mix001.wav,100.0,110.0,10,107.4,100.0
fold3_room4_mix001.wav,110.0,120.0,7,119.4,111.5
fold3_room4_mix001.wav,110.0,120.0,10,110.0,112.5
fold3_room4_mix004.wav,40.0,50.0,10,49.4,40.0
fold3_room4_mix004.wav,50.0,60.0,10,50.0,50.9
fold3_room4_mix004.wav,60.0,70.0,7,63.0,60.0
fold3_room4_mix004.wav,90.0,100.0,3,91.9,90.0
fold3_room4_mix004.wav,100.0,110.0,1,108.0,102.5
fold3_room4_mix004.wav,100.0,110.0,3,100.0,105.0
fold3_room4_mix004.wav,110.0,120.0,1,110.9,112.2
fold3_room4_mix004.wav,120.0,130.0,1,120.4,128.0
fold3_room4_mix004.wav,130.0,140.0,1,130.0,130.0
fold3_room4_mix004.wav,130.0,140.0,4,132.2,130.0
fold3_room4_mix004.wav,140.0,150.0,1,141.2,141.0
fold3_room4_mix005.wav,10.0,20.0,6,12.9,12.3
fold3_room4_mix005.wav,10.0,20.0,7,19.9,14.5
fold3_room4_mix005.wav,20.0,30.0,7,20.0,24.5
fold3_room4_mix005.wav,30.0,40.0,5,31.4,32.3
fold3_room4_mix005.wav,40.0,50.0,5,40.0,40.0
fold3_room4_mix005.wav,50.0,60.0,5,50.0,50.0
fold3_room4_mix005.wav,60.0,70.0,6,60.4,60.5
fold3_room4_mix005.wav,70.0,80.0,6,77.9,72.8
fold3_room4_mix005.wav,80.0,90.0,6,80.0,81.0
fold3_room4_mix005.wav,80.0,90.0,7,85.9,82.0
fold3_room4_mix005.wav,90.0,100.0,6,99.9,90.0
fold3_room4_mix006.wav,0.0,10.0,1,5.4,
fold3_room4_mix006.wav,10.0,20.0,1,10.0,
fold3_room4_mix006.wav,20.0,30.0,1,20.0,
fold3_room4_mix006.wav,30.0,40.0,1,30.0,
fold3_room4_mix006.wav,40.0,50.0,1,40.0,
fold3_room4_mix006.wav,50.0,60.0,1,50.0,54.0
fold3_room4_mix006.wav,60.0,70.0,1,60.0,
fold3_room4_mix006.wav,70.0,80.0,1,70.0,70.4
fold3_room4_mix006.wav,70.0,80.0,4,79.4,70.7
fold3_room4_mix006.wav,80.0,90.0,1,80.0,80.0
fold3_room4_mix006.wav,90.0,100.0,1,90.0,90.3
fold3_room4_mix006.wav,90.0,100.0,4,92.4,90.5
fold3_room4_mix006.wav,100.0,110.0,1,101.4,103.0
fold3_room4_mix006.wav,100.0,110.0,5,107.4,104.0
fold3_room4_mix006.wav,110.0,120.0,1,110.0,111.0
fold3_room4_mix006.wav,110.0,120.0,5,110.0,112.0
fold3_room4_mix006.wav,120.0,130.0,1,127.9,120.7
fold3_room4_mix006.wav,120.0,130.0,5,120.0,121.2
fold3_room4_mix006.wav,130.0,140.0,1,130.0,
fold3_room4_mix006.wav,140.0,150.0,1,140.0,140.0
fold3_room4_mix006.wav,150.0,160.0,1,150.4,
fold3_room4_mix006.wav,160.0,170.0,1,160.0,
fold3_room4_mix006.wav,170.0,180.0,1,170.0,170.0
fold3_room4_mix007.wav,0.0,10.0,1,5.9,
fold3_room4_mix007.wav,10.0,20.0,1,10.4,
fold3_room4_mix007.wav,20.0,30.0,1,20.0,
fold3_room4_mix007.wav,30.0,40.0,1,30.0,
fold3_room4_mix007.wav,40.0,50.0,1,40.0,
fold3_room4_mix007.wav,50.0,60.0,1,50.0,
fold3_room4_mix007.wav,60.0,70.0,1,60.0,60.0
fold3_room4_mix007.wav,60.0,70.0,4,63.9,60.0
fold3_room4_mix007.wav,70.0,80.0,1,70.0,
fold3_room4_mix007.wav,80.0,90.0,1,80.0,
fold3_room4_mix007.wav,90.0,100.0,1,90.0,90.2
fold3_room4_mix007.wav,90.0,100.0,10,99.9,90.5
fold3_room4_mix007.wav,100.0,110.0,1,104.9,100.0
fold3_room4_mix007.wav,100.0,110.0,10,100.0,100.0
fold3_room4_mix007.wav,110.0,120.0,1,111.4,
fold3_room4_mix007.wav,120.0,130.0,1,120.0,
fold3_room4_mix007.wav,130.0,140.0,1,130.0,130.0
fold3_room4_mix007.wav,130.0,140.0,4,133.9,130.0
fold3_room4_mix007.wav,140.0,150.0,1,140.0,
fold3_room4_mix007.wav,150.0,160.0,1,150.0,150.0
fold3_room4_mix007.wav,160.0,170.0,1,161.4,
fold3_room4_mix007.wav,170.0,180.0,1,170.0,170.0
fold3_room4_mix007.wav,180.0,190.0,1,180.0,180.0
fold3_room4_mix007.wav,180.0,190.0,4,180.9,180.0
fold3_room4_mix007.wav,190.0,200.0,1,190.0,
fold3_room4_mix007.wav,200.0,210.0,1,200.0,
fold3_room4_mix007.wav,210.0,220.0,1,210.0,210.0
fold3_room4_mix008.wav,10.0,20.0,6,11.4,10.0
fold3_room4_mix008.wav,10.0,20.0,7,17.4,10.0
fold3_room4_mix008.wav,20.0,30.0,10,22.9,20.0
fold3_room4_mix008.wav,30.0,40.0,3,30.4,30.0
fold3_room4_mix008.wav,30.0,40.0,6,31.4,30.0
fold3_room4_mix008.wav,40.0,50.0,1,45.9,
fold3_room4_mix008.wav,50.0,60.0,1,50.0,
fold3_room4_mix008.wav,60.0,70.0,1,60.0,
fold3_room4_mix008.wav,70.0,80.0,1,70.0,
fold3_room4_mix008.wav,80.0,90.0,1,80.0,80.0
fold3_room4_mix008.wav,90.0,100.0,1,90.4,
fold3_room4_mix008.wav,100.0,110.0,1,100.0,
fold3_room4_mix008.wav,110.0,120.0,1,110.0,110.0
fold3_room4_mix008.wav,110.0,120.0,10,118.9,110.0
fold3_room4_mix008.wav,120.0,130.0,1,120.0,120.1
fold3_room4_mix008.wav,120.0,130.0,10,120.0,120.2
fold3_room4_mix008.wav,130.0,140.0,1,130.0,
fold3_room4_mix008.wav,140.0,150.0,1,140.0,
fold3_room4_mix008.wav,150.0,160.0,1,150.0,
fold3_room6_mix001.wav,0.0,10.0,0,0.4,0.0
fold3_room6_mix001.wav,0.0,10.0,1,4.9,
fold3_room6_mix001.wav,10.0,20.0,0,13.4,
fold3_room6_mix001.wav,10.0,20.0,1,10.0,
fold3_room6_mix001.wav,20.0,30.0,0,20.9,20.0
fold3_room6_mix001.wav,20.0,30.0,1,20.0,
fold3_room6_mix001.wav,30.0,40.0,1,30.0,30.0
fold3_room6_mix001.wav,30.0,40.0,4,36.9,30.0
fold3_room6_mix001.wav,40.0,50.0,0,40.4,40.5
fold3_room6_mix001.wav,40.0,50.0,1,40.0,43.0
fold3_room6_mix001.wav,50.0,60.0,0,50.0,51.5
fold3_room6_mix001.wav,50.0,60.0,1,50.0,52.3
fold3_room6_mix001.wav,50.0,60.0,2,53.4,57.8
fold3_room6_mix001.wav,60.0,70.0,0,61.9,60.0
fold3_room6_mix001.wav,60.0,70.0,1,60.0,60.0
fold3_room6_mix001.wav,60.0,70.0,9,61.9,60.0
fold3_room6_mix001.wav,70.0,80.0,9,70.0,70.0
fold3_room6_mix001.wav,80.0,90.0,9,80.0,
fold3_room6_mix001.wav,90.0,100.0,0,93.9,90.0
fold3_room6_mix001.wav,90.0,100.0,1,91.9,90.0
fold3_room6_mix001.wav,90.0,100.0,4,95.4,90.0
fold3_room6_mix001.wav,90.0,100.0,9,90.0,90.0
fold3_room6_mix001.wav,100.0,110.0,0,100.4,100.0
fold3_room6_mix001.wav,100.0,110.0,1,100.0,100.0
fold3_room6_mix001.wav,100.0,110.0,9,106.9,100.0
fold3_room6_mix001.wav,110.0,120.0,9,110.0,110.0
fold3_room6_mix001.wav,120.0,130.0,0,126.4,120.0
fold3_room6_mix001.wav,120.0,130.0,1,128.9,120.0
fold3_room6_mix001.wav,120.0,130.0,9,120.0,120.0
fold3_room6_mix001.wav,130.0,140.0,0,131.4,130.0
fold3_room6_mix001.wav,130.0,140.0,1,130.0,
fold3_room6_mix001.wav,140.0,150.0,0,140.4,143.0
fold3_room6_mix001.wav,140.0,150.0,1,140.0,
fold3_room6_mix001.wav,150.0,160.0,0,150.9,150.0
fold3_room6_mix001.wav,150.0,160.0,1,150.0,
fold3_room6_mix001.wav,160.0,170.0,9,160.4,162.6
fold3_room6_mix001.wav,170.0,180.0,9,170.0,176.3
fold3_room6_mix001.wav,180.0,190.0,0,188.9,180.0
fold3_room6_mix001.wav,180.0,190.0,9,180.0,180.0
fold3_room6_mix001.wav,190.0,200.0,0,190.0,190.0
fold3_room6_mix001.wav,190.0,200.0,1,190.4,190.0
fold3_room6_mix001.wav,200.0,210.0,0,200.0,200.0
fold3_room6_mix001.wav,200.0,210.0,1,200.0,
fold3_room6_mix002.wav,0.0,10.0,0,0.4,0.3
fold3_room6_mix002.wav,0.0,10.0,1,0.9,
fold3_room6_mix002.wav,10.0,20.0,0,15.4,
fold3_room6_mix002.wav,10.0,20.0,1,10.0,
fold3_room6_mix002.wav,20.0,30.0,1,20.0,
fold3_room6_mix002.wav,30.0,40.0,1,30.0,
fold3_room6_mix002.wav,40.0,50.0,0,43.4,40.6
fold3_room6_mix002.wav,40.0,50.0,1,40.0,
fold3_room6_mix002.wav,50.0,60.0,0,52.9,50.4
fold3_room6_mix002.wav,50.0,60.0,1,50.0,
fold3_room6_mix002.wav,60.0,70.0,0,60.0,62.0
fold3_room6_mix002.wav,60.0,70.0,1,60.0,
fold3_room6_mix002.wav,70.0,80.0,0,70.0,70.0
fold3_room6_mix002.wav,70.0,80.0,1,70.9,70.0
fold3_room6_mix002.wav,70.0,80.0,9,76.9,70.0
