file,onset,offset,class
fold3_room4_mix001.wav,48.4,48.9,1
fold3_room4_mix001.wav,50.4,52.4,1
fold3_room4_mix001.wav,53.9,58.9,1
fold3_room4_mix001.wav,59.9,60.9,1
fold3_room4_mix001.wav,62.4,63.4,1
fold3_room4_mix001.wav,64.4,72.4,1
fold3_room4_mix001.wav,73.9,75.4,1
fold3_room4_mix001.wav,76.4,76.9,1
fold3_room4_mix001.wav,77.9,80.4,1
fold3_room4_mix001.wav,80.9,83.4,1
fold3_room4_mix001.wav,85.9,86.9,1
fold3_room4_mix001.wav,89.4,90.4,1
fold3_room4_mix001.wav,91.4,95.4,1
fold3_room4_mix001.wav,97.4,98.4,1
fold3_room4_mix001.wav,99.4,101.4,1
fold3_room4_mix001.wav,103.4,104.4,1
fold3_room4_mix001.wav,105.4,106.9,1
fold3_room4_mix001.wav,107.4,108.9,1
fold3_room4_mix001.wav,41.4,43.9,3
fold3_room4_mix001.wav,45.4,47.4,3
fold3_room4_mix001.wav,15.9,18.4,6
fold3_room4_mix001.wav,41.4,42.4,6
fold3_room4_mix001.wav,121.9,123.4,6
fold3_room4_mix001.wav,18.4,19.4,7
fold3_room4_mix001.wav,24.4,25.9,7
fold3_room4_mix001.wav,119.4,120.4,7
fold3_room4_mix001.wav,27.4,37.9,10
fold3_room4_mix001.wav,107.4,111.9,10
fold3_room4_mix004.wav,108.0,109.3,1
fold3_room4_mix004.wav,110.9,113.2,1
fold3_room4_mix004.wav,116.1,118.8,1
fold3_room4_mix004.wav,120.4,123.5,1
fold3_room4_mix004.wav,124.0,126.5,1
fold3_room4_mix004.wav,127.2,129.3,1
fold3_room4_mix004.wav,129.7,131.4,1
fold3_room4_mix004.wav,132.8,133.3,1
fold3_room4_mix004.wav,134.0,134.5,1
fold3_room4_mix004.wav,135.7,136.5,1
fold3_room4_mix004.wav,138.1,139.3,1
fold3_room4_mix004.wav,141.2,144.8,1
fold3_room4_mix004.wav,146.1,147.8,1
fold3_room4_mix004.wav,91.9,95.7,3
fold3_room4_mix004.wav,96.9,100.2,3
fold3_room4_mix004.wav,101.7,105.2,3
